,chembl_id,IC50,unit,smiles,pIC50
1401,CHEMBL564829,4175,nM,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc1-2,5.37934352
1402,CHEMBL593293,4200,nM,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3O)c2cc1OC,5.37675071
1403,CHEMBL473351,4200,nM,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(O)c3)c2cc1OC,5.37675071
1404,CHEMBL590109,4300,nM,NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,5.366531544
1405,CHEMBL466397,4500,nM,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,5.346787486
1406,CHEMBL3109952,4500,nM,c1cc(OCCN2CCOCC2)ccc1Nc1cc2[nH]c(-c3cn[nH]c3)cc2cn1,5.346787486
1407,CHEMBL1836844,4588,nM,CC1(C)CN(C(=O)c2ccc(Nc3nc(C4CC4)cn4c(-c5cn[nH]c5)cnc34)cc2Cl)CCN1,5.338376591
1408,CHEMBL4552628,4600,nM,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,5.337242168
1409,CHEMBL1092509,4600,nM,O=C1Nc2c(Br)cccc2/C1=C1/Nc2ccccc2/C1=N\O,5.337242168
1410,CHEMBL373834,4600,nM,O=Nc1c(-c2c(O)[nH]c3c(Br)cccc23)[nH]c2ccccc12,5.337242168
1411,CHEMBL604893,4800,nM,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,5.318758763
1412,CHEMBL452812,4900,nM,COc1ccc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2)cc1,5.30980392
1413,CHEMBL3085798,4930,nM,Cc1cc(NC(=O)c2ccc(Oc3c(Cl)cnc4[nH]c(-c5cn(C)nc5C)nc34)cc2)on1,5.307153081
1414,CHEMBL2333445,5100,nM,CCc1ccc(-c2ccc3c(c2)-c2[nH]ncc2S(=O)(=O)N3C)cc1,5.292429824
1415,CHEMBL2036870,5500,nM,Cn1c(-c2ccnc(Nc3cccc(O)c3)n2)nc2ccccc21,5.259637311
1416,CHEMBL1080080,5600,nM,Cc1nc(Nc2ccc(CCNc3ncnc4ccsc34)cc2)[nH]c1C,5.251811973
1417,CHEMBL259084,5700,nM,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,5.244125144
1418,CHEMBL3343044,5910,nM,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)ccc1O,5.228412519
1419,CHEMBL3125727,5920,nM,COc1ccc(-c2nc3cc(-c4csc(C(=O)NCC(C)C)c4)cnc3[nH]2)cc1,5.227678293
1420,CHEMBL467079,6000,nM,NC(=O)C(Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,5.22184875
1421,CHEMBL2036866,6000,nM,COc1ccc(Nc2nccc(-c3nc4ccccc4n3C)n2)cc1O,5.22184875
1422,CHEMBL1089986,6161,nM,Cn1cc(-c2ccnc3[nH]ccc23)cn1,5.210348791
1423,CHEMBL3354188,6190,nM,COC1CCN(c2nccc(Nc3cc4c(ccn4C(C)C)cn3)n2)CC1,5.208309351
1424,CHEMBL4071058,6200,nM,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.207608311
1425,CHEMBL4069612,6200,nM,O=C(Nc1cccc(CNc2nc3ccc(OCCN4CCOCC4)cc3s2)c1)c1ccc(Cl)cc1,5.207608311
1426,CHEMBL1822489,6300,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)C4CC4)cc3)nn3cc(NC(=O)CN4CCC[C@@H]4CO)cc23)n[nH]1,5.200659451
1427,CHEMBL490555,6400,nM,c1cc(Nc2ncnc3[nH]ccc23)cc(-c2nc3ccccc3s2)c1,5.193820026
1428,CHEMBL1421,6485,nM,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,5.18809002
1429,CHEMBL2408611,6500,nM,Nc1ncc(-c2cnn([C@H]3CC[C@H](O)CC3)c2)c2c(Cl)c(-c3cccc4nnsc34)oc12,5.187086643
1430,CHEMBL495758,6500,nM,c1ccc2[nH]c(-c3cc[nH]n3)nc2c1,5.187086643
1431,CHEMBL4794161,6580.6,nM,Cn1cc(-c2ccc3ncnc(Nc4cccc(NC(=O)Nc5cccc(F)c5)c4)c3c2)cn1,5.181734507
1432,CHEMBL4635411,6890,nM,CCOC(=O)c1cnc2cc(Cl)cc(Cl)c2c1Nc1cccc(S(N)(=O)=O)c1,5.161780778
1433,CHEMBL2408613,6900,nM,Nc1ncc(-c2cnn([C@H]3CC[C@H](O)CC3)c2)c2c(-c3cccnc3)c(-c3cccc4nnsc34)oc12,5.161150909
1434,CHEMBL2036865,7000,nM,Cn1c(-c2ccnc(Nc3ccc(O)c(Cl)c3)n2)nc2ccccc21,5.15490196
1435,CHEMBL212174,7000,nM,O=Nc1c(-c2c(O)[nH]c3c(F)cccc23)[nH]c2ccccc12,5.15490196
1436,CHEMBL461109,7000,nM,Cc1cc(Nc2ccnc(Nc3ccc(-c4nc5ccccc5s4)cc3)n2)n[nH]1,5.15490196
1437,CHEMBL3087773,7095,nM,COc1ccc(-c2[nH]c3ncc(Cl)cc3c2-c2cccc(CNS(C)(=O)=O)c2)cc1,5.1490476
1438,CHEMBL3104855,7290,nM,Cc1c(O)c(O)c(O)c(C=O)c1-c1cc2c(C=O)c(C)c(O)c(O)c2o1,5.137272472
1439,CHEMBL3793945,7300,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(-c4ccc5nccnc5c4)nn3)ccc2O)c1,5.13667714
1440,CHEMBL301018,7400,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,5.13076828
1441,CHEMBL3343051,7510,nM,O=C(Nc1ccc(NC(=O)c2ccccn2)cc1)c1cccc(-c2c[nH]c(=O)[nH]c2=O)c1,5.124360063
1442,CHEMBL4476426,7800,nM,COc1cc(Br)cc2[nH]cc(-c3cnc(-c4cc(Br)c[nH]4)o3)c12,5.107905397
1443,CHEMBL213650,8000,nM,O=Nc1c(-c2c(O)[nH]c3c(Cl)cccc23)[nH]c2ccccc12,5.096910013
1444,CHEMBL3265229,8000,nM,CC(=O)O/N=C1C(=C2/C(=O)Nc3c(Br)cccc32)/Nc2ccccc2/1,5.096910013
1445,CHEMBL593770,8000,nM,COc1cc2c(N(C)c3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN1CCN(C)CC1,5.096910013
1446,CHEMBL243985,8000,nM,CC(=O)O/N=C1C(=C2\C(=O)Nc3c(F)cccc32)\Nc2ccccc2\1,5.096910013
1447,CHEMBL3598119,8200,nM,O=C(Nc1ccc(F)cc1)Nc1cc2c(cc1N1CCOCC1)/C(=C/c1ccc3c(c1)OCO3)C(=O)N2,5.086186148
1448,CHEMBL4644959,8330,nM,CCOC(=O)c1cnc2ccc(C)cc2c1Nc1cccc(S(N)(=O)=O)c1,5.079354999
1449,CHEMBL1836848,8484,nM,O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCOCC1,5.07139934
1450,CHEMBL4514298,8530,nM,COc1ccc(C2CC(c3ccc4ccccc4c3O)=NN2C(=S)Nc2cccc(OC)c2)cc1,5.069050969
1451,CHEMBL4448494,8580,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C,5.066512712
1452,CHEMBL395080,8620,nM,COc1cc(-c2ccc3c(c2)Nc2ccc(CC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,5.064492734
1453,CHEMBL3104854,8690,nM,Cc1c(O)c(O)c(O)c2c1COC2=O,5.060980224
1454,CHEMBL519113,8800,nM,C[C@@H](Nc1c(Nc2ccnc(-c3ccco3)c2)c(=O)c1=O)c1ccccc1,5.055517328
1455,CHEMBL217090,8900,nM,Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,5.050609993
1456,CHEMBL4752776,8900,nM,O=C(O)CSc1ncnc2cc(-c3cc4ccccc4s3)sc12,5.050609993
1457,CHEMBL4060436,9000,nM,O=C(Nc1cccc(CNc2nc3ccc(OCCN4CCOCC4)cc3s2)c1)c1ccc(F)cc1,5.045757491
1458,CHEMBL3932938,9400,nM,Cc1cc(S(N)(=O)=O)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,5.026872146
1459,CHEMBL509435,9800,nM,COc1cc(C2=C(c3cn(C)c4ccccc34)C(=O)NC2)cc(OC)c1OC,5.008773924
1460,CHEMBL2031893,10000,nM,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,5
1461,CHEMBL209648,10000,nM,O=Nc1c(-c2c(O)[nH]c3c(I)cccc23)[nH]c2ccccc12,5
1462,CHEMBL3792621,10200,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4nc5ccccc5o4)nn3)ccc2O)c1,4.991399828
1463,CHEMBL3809709,10200,nM,O=C(Nc1ccc(Cl)cc1)Nc1ccc(CNc2nc3ccc(OCCN4CCOCC4)cc3o2)cc1,4.991399828
1464,CHEMBL1230687,10540,nM,CS(=O)(=O)NCc1cccc(-c2cn3c(Cl)cnc3c(Nc3ccc(N4CCOCC4)cc3)n2)c1,4.977159389
1465,CHEMBL481248,10800,nM,C[C@@H](Nc1c(Nc2ccnc(-c3ccsc3)c2)c(=O)c1=O)c1ccccc1,4.966576245
1466,CHEMBL1836839,11000,nM,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)N3CCNC4(CC4)C3)c(Cl)c2)n1,4.958607315
1467,CHEMBL2036869,11100,nM,Cn1c(-c2ccnc(Nc3ccc(O)cc3)n2)nc2ccccc21,4.954677021
1468,CHEMBL4639147,11500,nM,CCOC(=O)c1cnc2c(Cl)ccc(Cl)c2c1Nc1cccc(NS(C)(=O)=O)c1,4.93930216
1469,CHEMBL3125734,12100,nM,COc1ccc(-c2nc3cc(-c4csc(C(C)=O)c4)cnc3[nH]2)cc1,4.91721463
1470,CHEMBL4645551,12500,nM,CCOC(=O)c1cnc2ccccc2c1Nc1cccc(S(N)(=O)=O)c1,4.903089987
1471,CHEMBL1651482,12700,nM,Cc1cc(Nc2nn(Cc3cccnc3)c(=O)c3ccccc23)n[nH]1,4.896196279
1472,CHEMBL4641064,13200,nM,CCOC(=O)c1cnc2ccccc2c1Nc1cccc(NS(C)(=O)=O)c1,4.879426069
1473,CHEMBL1089985,13398,nM,c1cc(-c2cn[nH]c2)c2cc[nH]c2n1,4.872960027
1474,CHEMBL3322937,13800,nM,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(-n2cc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)ccc1O,4.860120914
1475,CHEMBL3343055,14300,nM,COc1cc(C(=O)Nc2ccc(NC(=O)c3ccccn3)cc2)cc(N2CCC(=O)NC2=O)c1,4.844663963
1476,CHEMBL1822646,15000,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](N)C[C@H]4CO)cc3)nn3cccc23)n[nH]1,4.823908741
1477,CHEMBL470718,15000,nM,Cc1cc(Nc2nn(CC(F)(F)F)c(=O)c3ccccc23)n[nH]1,4.823908741
1478,CHEMBL1651480,15000,nM,CC(=O)Nc1ccc(Cn2nc(Nc3cc(C)[nH]n3)c3ccccc3c2=O)cc1,4.823908741
1479,CHEMBL3792988,15200,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CCNc4ncccn4)nn3)ccc2O)c1,4.818156412
1480,CHEMBL261425,15600,nM,O=C1Nc2ccccc2/C1=C\c1c(Cl)[nH]c2ccccc12,4.806875402
1481,CHEMBL3109963,16000,nM,COc1ccccc1Nc1cc2[nH]c(-c3c(C)noc3C)cc2cn1,4.795880017
1482,CHEMBL3792856,16300,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4cc(C)ccn4)nn3)ccc2O)c1,4.787812396
1483,CHEMBL1651488,17000,nM,Cc1cc(Nc2nn(C)c(=O)c3ccccc23)n[nH]1,4.769551079
1484,CHEMBL2408732,17400,nM,Cc1c(-c2cnc(N)c3oc(-c4csc5cnccc45)cc23)cnn1C,4.759450752
1485,CHEMBL3343058,18100,nM,CCNC(=O)Nc1ccc(NC(=O)c2cc(OC)cc(-c3c[nH]c(=O)[nH]c3=O)c2)cc1,4.742321425
1486,CHEMBL3087783,18600,nM,Cc1nn(C)cc1-c1nc2c(Nc3ccc(C(=O)Nc4ccccc4)cc3)c(Cl)cnc2[nH]1,4.730487056
1487,CHEMBL3125728,18800,nM,COc1ccc(-c2nc3cc(-c4csc(C(=O)NCCC(C)C)c4)cnc3[nH]2)cc1,4.725842151
1488,CHEMBL3087820,19720,nM,Cc1nn(C)cc1-c1nc2c(Oc3ccc(C(=O)Nc4cccnc4)cc3)c(Cl)cnc2[nH]1,4.705093089
1489,CHEMBL3087819,19740,nM,Cc1nn(C)cc1-c1nc2c(Oc3ccc(C(=O)Nc4ccncc4)cc3)c(Cl)cnc2[nH]1,4.704652852
1490,CHEMBL1835071,20000,nM,Cc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(N)=O)cc1,4.698970004
1491,CHEMBL488811,20000,nM,COc1cc(C2=C(c3cn(COc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,4.698970004
1492,CHEMBL395766,20000,nM,CC(=O)O/N=C1C(=C2\C(=O)Nc3c(Br)cccc32)\Nc2ccccc2\1,4.698970004
1493,CHEMBL3794018,20100,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ncnc5ccsc45)nn3)ccc2O)c1,4.696803943
1494,CHEMBL3104853,20600,nM,COCc1c(C)c(O)c(O)c(O)c1C=O,4.68613278
1495,CHEMBL3323030,21800,nM,CC(=O)Nc1cccc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)c1,4.661543506
1496,CHEMBL1651468,22000,nM,Cc1cc(Nc2n[nH]c(=O)c3ccccc23)n[nH]1,4.657577319
1497,CHEMBL1092754,22200,nM,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,4.653647026
1498,CHEMBL3104852,22600,nM,COC1OC(=O)c2c(O)c(O)c(O)c(C)c21,4.645891561
1499,CHEMBL3343045,23100,nM,O=C(Nc1ccc(NC(=O)c2ccccn2)cc1)c1ccc(O)c([N+](=O)[O-])c1,4.63638802
1500,CHEMBL4098587,23700,nM,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,4.625251654
1501,CHEMBL1651487,24000,nM,Cc1cc(Nc2nn(Cc3csc(C)n3)c(=O)c3ccccc23)n[nH]1,4.619788758
1502,CHEMBL3087823,24240,nM,Cc1nn(C)cc1-c1nc2c(Oc3ccc(C(=O)NC4CCC4)cc3)c(Cl)cnc2[nH]1,4.615467385
1503,CHEMBL3087784,24650,nM,Cc1nn(C)cc1-c1nc2c(Oc3ccc(C(=O)Nc4ccccc4)cc3)c(Cl)cnc2[nH]1,4.608183076
1504,CHEMBL201511,25000,nM,COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,4.602059991
1505,CHEMBL517956,25100,nM,Cc1ccc(O)cc1CC[C@@H]1[C@H](O)CC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,4.600326279
1506,CHEMBL1087650,25500,nM,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,4.59345982
1507,CHEMBL1651481,27000,nM,Cc1cc(Nc2nn(Cc3ccncc3)c(=O)c3ccccc23)n[nH]1,4.568636236
1508,CHEMBL1651479,28000,nM,COc1cccc(Cn2nc(Nc3cc(C)[nH]n3)c3ccccc3c2=O)c1,4.552841969
1509,CHEMBL1651489,30000,nM,Cc1cc(Nc2nn(C(C)C)c(=O)c3ccccc23)n[nH]1,4.522878745
1510,CHEMBL4548361,31000,nM,COc1cc(Br)cc2[nH]c(I)c(-c3cnc(-c4ccc[nH]4)o3)c12,4.508638306
1511,CHEMBL3323022,31900,nM,COc1cc(OC)c(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(C(F)(F)F)c4)c3)nn2)cc1Cl,4.496209317
1512,CHEMBL3793352,32100,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ccccn4)nn3)ccc2O)c1,4.493494968
1513,CHEMBL3109971,34000,nM,CN(C)C1CCN(C(=O)c2ccc(Nc3cc4[nH]c(-c5cnn(C)c5)cc4cn3)c(Cl)c2)CC1,4.468521083
1514,CHEMBL1651477,34000,nM,Cc1cc(Nc2nn(Cc3ccc(S(C)(=O)=O)cc3)c(=O)c3ccccc23)n[nH]1,4.468521083
1515,CHEMBL1651490,34000,nM,Cc1cc(Nc2nn(CC(C)C)c(=O)c3ccccc23)n[nH]1,4.468521083
1516,CHEMBL1651491,34000,nM,CC(=O)Nc1ccc(Cn2nc(Nc3cc[nH]n3)c3ccccc3c2=O)cc1,4.468521083
1517,CHEMBL3792563,36500,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ccccc4)nn3)ccc2O)c1,4.437707136
1518,CHEMBL1922224,38100,nM,Cc1ccc(O)cc1CC[C@@H]1[C@@H](O)CC[C@]2(C)[C@@H]([C@H](C)/C=C/CC(C)C)CC[C@@H]12,4.419075024
1519,CHEMBL3794376,40700,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ncccn4)nn3)ccc2O)c1,4.390405591
1520,CHEMBL606245,41000,nM,Cc1c(Nc2c(C#N)cncc2/C=C/CCN2CCC[C@@H](N)C2)ccc2[nH]ccc12,4.387216143
1521,CHEMBL488646,43000,nM,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,4.366531544
1522,CHEMBL1095627,45100,nM,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(N)cc4)nc32)CC1,4.345823458
1523,CHEMBL529663,46000,nM,COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,4.337242168
1524,CHEMBL1651478,46000,nM,COc1ccc(Cn2nc(Nc3cc(C)[nH]n3)c3ccccc3c2=O)cc1,4.337242168
1525,CHEMBL3109964,47000,nM,COc1ccccc1Nc1cc2[nH]c(-c3cncn3C)cc2cn1,4.327902142
1526,CHEMBL3322933,47500,nM,COc1cc(OC)cc(-c2cn(-c3ccc(O)c(C(=O)Nc4cccc(Cl)c4)c3)nn2)c1,4.32330639
1527,CHEMBL3808933,49400,nM,O=C(Nc1ccc(COc2ccc3nc(NCCN4CCOCC4)oc3c2)cc1)Nc1ccc(Cl)c(Cl)c1,4.306273051
1528,CHEMBL3792583,49500,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4cc(C)[nH]n4)nn3)ccc2O)c1,4.305394801
1529,CHEMBL3808569,50400,nM,O=C(Nc1ccc(Cl)cc1)Nc1ccc(COc2ccc3nc(NCCN4CCOCC4)oc3c2)cc1,4.297569464
1530,CHEMBL4084745,51000,nM,CC(C)(C)OC(=O)NCC(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1,4.292429824
1531,CHEMBL3794450,54800,nM,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4cc(C)on4)nn3)ccc2O)c1,4.261219442
1532,CHEMBL3109401,61000,nM,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(NCCC(C)C)C3=O)[C@@H](C)CC[C@@]12C,4.214670165
