,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
383,CHEMBL2170414,10.7,nM,NC(=O)c1ccc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)cc1,7.970616222,357.0792659,5,3,3.8552,TRUE
385,CHEMBL2029903,11,nM,CN1CCN(C(=O)c2cc(Nc3ncc4cc(C(N)=O)n(C5CCCC5)c4n3)cn2C)CC1,7.958607315,450.2491722,8,2,2.115,TRUE
386,CHEMBL4277642,11,nM,CCCNS(=O)(=O)Nc1cc(C(C)C)c2sc(NC(=O)NC)c(C(N)=O)c2c1,7.958607315,427.1347963,5,5,2.5312,TRUE
387,CHEMBL1979883,11,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN(C)C)cnc(N)c34)cc2)c1,7.958607315,455.1779814,5,3,5.41102,TRUE
388,CHEMBL3670439,11,nM,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc2ccccc12,7.958607315,342.1480612,4,2,4.055,TRUE
390,CHEMBL3680387,11,nM,CN(CCO)c1ccc(C(=O)Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)cn1,7.958607315,471.2018877,8,4,2.4166,TRUE
391,CHEMBL3393473,11,nM,CCOC(=O)c1[nH]cc2c1NC1=C(C(=O)CCC1)C2c1ccc(Sc2nc3cc(F)ccc3[nH]2)o1,7.958607315,492.1267544,7,3,5.5155,TRUE
392,CHEMBL3680518,11,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(CN5CCCC5)cc4)c3)ncnc12,7.958607315,480.2273741,6,3,4.1889,TRUE
393,CHEMBL484006,11,nM,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C(C)(C)C)CC3)n2)cc1,7.958607315,494.2576287,8,3,4.67192,TRUE
394,CHEMBL3646210,11.21,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C[C@H](C)O)c5)cnc(N)c34)cc2)c1,7.950394387,498.1837951,7,4,5.74222,TRUE
395,CHEMBL4525614,11.3,nM,CC1(C)CC(NC(=O)c2ccc(Nc3ncc([N+](=O)[O-])c(Nc4ccccc4O)n3)cc2)CC(C)(C)N1[O],7.946921557,520.2308421,9,4,4.6745,TRUE
396,CHEMBL2163400,11.9,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H]([S+]([O-])C(C)(C)C)C4)cc3)nn3cccc23)n[nH]1,7.924453039,552.2089643,9,3,4.21562,TRUE
397,CHEMBL2063453,12,nM,Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12,7.920818754,485.1133305,5,4,5.4713,TRUE
398,CHEMBL2071275,12,nM,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(C4CCNCC4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,7.920818754,428.1839851,8,4,2.0825,TRUE
399,CHEMBL2071276,12,nM,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn([C@@H]4CCCNC4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,7.920818754,428.1839851,8,4,2.0825,TRUE
400,CHEMBL2063447,12,nM,Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12,7.920818754,469.1361741,5,4,5.0028,TRUE
401,CHEMBL2012398,12,nM,Cn1cc(Nc2ncc3cnn([C@H]4CC[C@H]5CCC[C@H]54)c3n2)cc1C(N)=O,7.920818754,365.1964084,7,2,2.7585,TRUE
402,CHEMBL5200042,12,nM,CCOP(=O)(OCC)C(Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1)c1ccn[nH]1,7.920818754,493.1991244,9,3,5.69052,TRUE
