circRNA,miRNA
GMA_circ00393,gma-miR395b
GMA_circ00088,gma-miR319b
GMA_circ01212,gma-miR4387b
GMA_circ01211,gma-miR4387b
GMA_circ01171,gma-miR5771
GMA_circ01177,gma-miR5771
GMA_circ01176,gma-miR5771
GMA_circ01178,gma-miR5771
GMA_circ01179,gma-miR5771
GMA_circ01121,gma-miR5771
GMA_circ00992,gma-miR5771
GMA_circ00836,gma-miR397b-3p
GMA_circ01072,gma-miR4382
GMA_circ01073,gma-miR4382
GMA_circ01076,gma-miR4382
GMA_circ01075,gma-miR4382
GMA_circ01052,gma-miR4413b
GMA_circ01053,gma-miR4413b
GMA_circ01054,gma-miR4413b
GMA_circ01055,gma-miR4413b
GMA_circ01058,gma-miR4413b
GMA_circ01056,gma-miR4413b
GMA_circ01057,gma-miR4413b
GMA_circ01045,gma-miR4413b
GMA_circ00683,gma-miR4413b
GMA_circ01034,gma-miR394b-5p
GMA_circ01035,gma-miR394b-5p
GMA_circ01033,gma-miR394b-5p
GMA_circ01045,gma-miR172b-5p
GMA_circ00827,gma-miR172b-5p
GMA_circ01214,gma-miR156w
GMA_circ00412,gma-miR156w
GMA_circ00948,gma-miR156w
GMA_circ00641,gma-miR5674a
GMA_circ00691,gma-miR5674a
GMA_circ00722,gma-miR164a
GMA_circ00721,gma-miR164a
GMA_circ00814,gma-miR156p
GMA_circ00948,gma-miR156p
GMA_circ01195,gma-miR1520h
GMA_circ01194,gma-miR1520h
GMA_circ01169,gma-miR9725
GMA_circ00731,gma-miR9725
GMA_circ00622,gma-miR9725
GMA_circ00623,gma-miR9725
GMA_circ00827,gma-miR5764
GMA_circ00985,gma-miR1508a
GMA_circ01057,gma-miR1508a
GMA_circ01056,gma-miR1508a
GMA_circ01194,gma-miR1520m
GMA_circ01195,gma-miR1520m
GMA_circ00780,gma-miR1520m
GMA_circ00722,gma-miR164g
GMA_circ00721,gma-miR164g
GMA_circ00710,gma-miR159e-5p
GMA_circ00088,gma-miR319a
GMA_circ01194,gma-miR1520o
GMA_circ01195,gma-miR1520o
GMA_circ00704,gma-miR1520o
GMA_circ00211,gma-miR156aa
GMA_circ00210,gma-miR156aa
GMA_circ00923,gma-miR156aa
GMA_circ00922,gma-miR156aa
GMA_circ00746,gma-miR156aa
GMA_circ01173,gma-miR156aa
GMA_circ01175,gma-miR156aa
GMA_circ01174,gma-miR156aa
GMA_circ01181,gma-miR156aa
GMA_circ01186,gma-miR156aa
GMA_circ01184,gma-miR156aa
GMA_circ01180,gma-miR156aa
GMA_circ01185,gma-miR156aa
GMA_circ01183,gma-miR156aa
GMA_circ00732,gma-miR156aa
GMA_circ00684,gma-miR156aa
GMA_circ00685,gma-miR156aa
GMA_circ00654,gma-miR156aa
GMA_circ00704,gma-miR1520f-5p
GMA_circ01194,gma-miR1520f-5p
GMA_circ01195,gma-miR1520f-5p
GMA_circ00938,gma-miR1520f-5p
GMA_circ00725,gma-miR4347
GMA_circ00145,gma-miR5770a
GMA_circ00146,gma-miR5770a
GMA_circ01194,gma-miR1520d
GMA_circ01195,gma-miR1520d
GMA_circ00780,gma-miR1520d
GMA_circ00724,gma-miR4993
GMA_circ00819,gma-miR4993
GMA_circ01208,gma-miR172j
GMA_circ01206,gma-miR172j
GMA_circ01207,gma-miR172j
GMA_circ01205,gma-miR172j
GMA_circ01194,gma-miR1520i
GMA_circ01195,gma-miR1520i
GMA_circ00908,gma-miR4400
GMA_circ01079,gma-miR9724
GMA_circ00638,gma-miR9724
GMA_circ00636,gma-miR9724
GMA_circ01103,gma-miR1527
GMA_circ01107,gma-miR1527
GMA_circ01106,gma-miR1527
GMA_circ01105,gma-miR1527
GMA_circ01077,gma-miR1527
GMA_circ00723,gma-miR1527
GMA_circ00819,gma-miR1527
GMA_circ01214,gma-miR156x
GMA_circ00412,gma-miR156x
GMA_circ00948,gma-miR156x
GMA_circ00661,gma-miR4398
GMA_circ01052,gma-miR1533
GMA_circ01053,gma-miR1533
GMA_circ01054,gma-miR1533
GMA_circ01055,gma-miR1533
GMA_circ01058,gma-miR1533
GMA_circ01059,gma-miR1533
GMA_circ01060,gma-miR1533
GMA_circ01061,gma-miR1533
GMA_circ01064,gma-miR1533
GMA_circ01066,gma-miR1533
GMA_circ01067,gma-miR1533
GMA_circ00622,gma-miR1533
GMA_circ00623,gma-miR1533
GMA_circ00723,gma-miR1533
GMA_circ00968,gma-miR1533
GMA_circ01104,gma-miR1533
GMA_circ00710,gma-miR1533
GMA_circ01103,gma-miR1533
GMA_circ01107,gma-miR1533
GMA_circ01106,gma-miR1533
GMA_circ01105,gma-miR1533
GMA_circ00827,gma-miR1533
GMA_circ01072,gma-miR1533
GMA_circ01008,gma-miR1533
GMA_circ00735,gma-miR1533
GMA_circ00947,gma-miR1533
GMA_circ00946,gma-miR1533
GMA_circ00745,gma-miR1533
GMA_circ00948,gma-miR1533
GMA_circ01071,gma-miR1533
GMA_circ01169,gma-miR1533
GMA_circ00986,gma-miR1533
GMA_circ00895,gma-miR1533
GMA_circ00808,gma-miR1533
GMA_circ01070,gma-miR1533
GMA_circ00787,gma-miR1533
GMA_circ00701,gma-miR1533
GMA_circ00806,gma-miR1533
GMA_circ00805,gma-miR1533
GMA_circ01056,gma-miR1533
GMA_circ01057,gma-miR1533
GMA_circ00734,gma-miR1533
GMA_circ00819,gma-miR1533
GMA_circ00722,gma-miR1533
GMA_circ00721,gma-miR1533
GMA_circ00780,gma-miR1533
GMA_circ01007,gma-miR1533
GMA_circ01062,gma-miR1533
GMA_circ01063,gma-miR1533
GMA_circ01065,gma-miR1533
GMA_circ01068,gma-miR1533
GMA_circ00733,gma-miR1533
GMA_circ00786,gma-miR1533
GMA_circ00772,gma-miR1533
GMA_circ00771,gma-miR1533
GMA_circ00770,gma-miR1533
GMA_circ00998,gma-miR1533
GMA_circ00997,gma-miR1533
GMA_circ00691,gma-miR1533
GMA_circ00788,gma-miR1533
GMA_circ00789,gma-miR1533
GMA_circ00790,gma-miR1533
GMA_circ01046,gma-miR1533
GMA_circ01126,gma-miR1533
GMA_circ01194,gma-miR1533
GMA_circ01195,gma-miR1533
GMA_circ00641,gma-miR1533
GMA_circ00985,gma-miR1533
GMA_circ00258,gma-miR1533
GMA_circ00638,gma-miR1533
GMA_circ00836,gma-miR1533
GMA_circ00636,gma-miR1533
GMA_circ00981,gma-miR1533
GMA_circ00982,gma-miR1533
GMA_circ00534,gma-miR1533
GMA_circ00535,gma-miR1533
GMA_circ01002,gma-miR1533
GMA_circ00910,gma-miR1533
GMA_circ00659,gma-miR1533
GMA_circ01178,gma-miR1533
GMA_circ01179,gma-miR1533
GMA_circ01176,gma-miR1533
GMA_circ01177,gma-miR1533
GMA_circ01041,gma-miR1533
GMA_circ00828,gma-miR1533
GMA_circ00939,gma-miR1533
GMA_circ00714,gma-miR1533
GMA_circ01191,gma-miR1533
GMA_circ01182,gma-miR1533
GMA_circ00713,gma-miR1533
GMA_circ01202,gma-miR1533
GMA_circ00485,gma-miR1533
GMA_circ01077,gma-miR1533
GMA_circ00736,gma-miR1533
GMA_circ01190,gma-miR1533
GMA_circ01189,gma-miR1533
GMA_circ01187,gma-miR1533
GMA_circ01188,gma-miR1533
GMA_circ00757,gma-miR1533
GMA_circ01132,gma-miR1533
GMA_circ01198,gma-miR1533
GMA_circ00154,gma-miR1533
GMA_circ00663,gma-miR1533
GMA_circ00324,gma-miR1533
GMA_circ00963,gma-miR1533
GMA_circ01151,gma-miR1533
GMA_circ00662,gma-miR1533
GMA_circ00784,gma-miR1533
GMA_circ00704,gma-miR1533
GMA_circ00950,gma-miR1533
GMA_circ00964,gma-miR1533
GMA_circ00744,gma-miR1533
GMA_circ00874,gma-miR1533
GMA_circ00875,gma-miR1533
GMA_circ00917,gma-miR1533
GMA_circ01038,gma-miR1533
GMA_circ01037,gma-miR1533
GMA_circ01039,gma-miR1533
GMA_circ01139,gma-miR1533
GMA_circ00555,gma-miR1533
GMA_circ00555,gma-miR1533
GMA_circ00707,gma-miR1533
GMA_circ00916,gma-miR1533
GMA_circ00914,gma-miR1533
GMA_circ00920,gma-miR1533
GMA_circ00919,gma-miR1533
GMA_circ00970,gma-miR1533
GMA_circ00962,gma-miR1533
GMA_circ00948,gma-miR156o
GMA_circ01214,gma-miR156o
GMA_circ00412,gma-miR156o
GMA_circ00746,gma-miR172f
GMA_circ00949,gma-miR5031
GMA_circ00786,gma-miR5031
GMA_circ00638,gma-miR5031
GMA_circ01071,gma-miR5031
GMA_circ01070,gma-miR5031
GMA_circ00949,gma-miR4341
GMA_circ01212,gma-miR4387e
GMA_circ01211,gma-miR4387e
GMA_circ00663,gma-miR4387e
GMA_circ00662,gma-miR4387e
GMA_circ00772,gma-miR4387e
GMA_circ00771,gma-miR4387e
GMA_circ01194,gma-miR1520a
GMA_circ01195,gma-miR1520a
GMA_circ00951,gma-miR5376
GMA_circ01008,gma-miR5376
GMA_circ01194,gma-miR1520l
GMA_circ01195,gma-miR1520l
GMA_circ00938,gma-miR1520l
GMA_circ01034,gma-miR394e
GMA_circ01035,gma-miR394e
GMA_circ01033,gma-miR394e
GMA_circ00722,gma-miR164i
GMA_circ00721,gma-miR164i
GMA_circ01169,gma-miR5782
GMA_circ01214,gma-miR156h
GMA_circ00412,gma-miR156h
GMA_circ00948,gma-miR156h
GMA_circ01194,gma-miR1520g
GMA_circ01195,gma-miR1520g
GMA_circ00736,gma-miR5372
GMA_circ00735,gma-miR5372
GMA_circ00102,gma-miR5372
GMA_circ00101,gma-miR5372
GMA_circ00780,gma-miR1513b
GMA_circ00725,gma-miR4361
GMA_circ00985,gma-miR4359b
GMA_circ01214,gma-miR156y
GMA_circ00412,gma-miR156y
GMA_circ00948,gma-miR156y
GMA_circ01036,gma-miR4380b
GMA_circ00985,gma-miR4380b
GMA_circ01214,gma-miR156q
GMA_circ01178,gma-miR4348b
GMA_circ01179,gma-miR4348b
GMA_circ01176,gma-miR4348b
GMA_circ01177,gma-miR4348b
GMA_circ01171,gma-miR4348b
GMA_circ01075,gma-miR4348b
GMA_circ01076,gma-miR4348b
GMA_circ01073,gma-miR4348b
GMA_circ01072,gma-miR4348b
GMA_circ01071,gma-miR4348b
GMA_circ01048,gma-miR4348b
GMA_circ01126,gma-miR167j
GMA_circ00211,gma-miR156z
GMA_circ00210,gma-miR156z
GMA_circ00923,gma-miR156z
GMA_circ00922,gma-miR156z
GMA_circ00746,gma-miR156z
GMA_circ01173,gma-miR156z
GMA_circ01175,gma-miR156z
GMA_circ01174,gma-miR156z
GMA_circ01181,gma-miR156z
GMA_circ01186,gma-miR156z
GMA_circ01184,gma-miR156z
GMA_circ01180,gma-miR156z
GMA_circ01185,gma-miR156z
GMA_circ01183,gma-miR156z
GMA_circ00732,gma-miR156z
GMA_circ00684,gma-miR156z
GMA_circ00685,gma-miR156z
GMA_circ00654,gma-miR156z
GMA_circ00393,gma-miR395k
GMA_circ00393,gma-miR395m
GMA_circ00088,gma-miR319e
GMA_circ00722,gma-miR164h
GMA_circ00721,gma-miR164h
GMA_circ00393,gma-miR395c
GMA_circ00636,gma-miR5040
GMA_circ00731,gma-miR5040
GMA_circ00746,gma-miR172c
GMA_circ00722,gma-miR164j
GMA_circ00721,gma-miR164j
GMA_circ01173,gma-miR4416a
GMA_circ01175,gma-miR4416a
GMA_circ01174,gma-miR4416a
GMA_circ01172,gma-miR4416a
GMA_circ00687,gma-miR399i
GMA_circ01214,gma-miR156u
GMA_circ00412,gma-miR156u
GMA_circ00948,gma-miR156u
GMA_circ01208,gma-miR172i-5p
GMA_circ01206,gma-miR172i-5p
GMA_circ01207,gma-miR172i-5p
GMA_circ01205,gma-miR172i-5p
GMA_circ00576,gma-miR396h
GMA_circ00739,gma-miR5761a
GMA_circ01104,gma-miR5041-5p
GMA_circ00949,gma-miR5041-5p
GMA_circ01072,gma-miR5041-5p
GMA_circ01071,gma-miR5041-5p
GMA_circ01077,gma-miR5041-5p
GMA_circ01073,gma-miR5041-5p
GMA_circ01076,gma-miR5041-5p
GMA_circ01075,gma-miR5041-5p
GMA_circ01162,gma-miR5378
GMA_circ00814,gma-miR156t
GMA_circ00948,gma-miR156t
GMA_circ00663,gma-miR4997
GMA_circ00832,gma-miR1512c
GMA_circ01181,gma-miR4357
GMA_circ01184,gma-miR4357
GMA_circ01186,gma-miR4357
GMA_circ01192,gma-miR4357
GMA_circ00933,gma-miR4357
GMA_circ00734,gma-miR1513a-3p
GMA_circ01048,gma-miR1513a-3p
GMA_circ01128,gma-miR1513a-3p
GMA_circ01127,gma-miR1513a-3p
GMA_circ01126,gma-miR1513a-3p
GMA_circ01126,gma-miR167c
GMA_circ00731,gma-miR171i-5p
GMA_circ00948,gma-miR171i-5p
GMA_circ00393,gma-miR395i
GMA_circ01052,gma-miR6299
GMA_circ01053,gma-miR6299
GMA_circ01054,gma-miR6299
GMA_circ01055,gma-miR6299
GMA_circ01058,gma-miR6299
GMA_circ01059,gma-miR6299
GMA_circ01060,gma-miR6299
GMA_circ01061,gma-miR6299
GMA_circ01064,gma-miR6299
GMA_circ01066,gma-miR6299
GMA_circ01067,gma-miR6299
GMA_circ01124,gma-miR6299
GMA_circ00951,gma-miR6299
GMA_circ00895,gma-miR6299
GMA_circ01149,gma-miR6299
GMA_circ01214,gma-miR156f
GMA_circ01194,gma-miR1520k
GMA_circ01195,gma-miR1520k
GMA_circ00780,gma-miR1520k
GMA_circ00660,gma-miR530d
GMA_circ01132,gma-miR530d
GMA_circ00781,gma-miR1514b-5p
GMA_circ00782,gma-miR1514b-5p
GMA_circ00783,gma-miR1514b-5p
GMA_circ01129,gma-miR1514b-5p
GMA_circ00661,gma-miR1514b-5p
GMA_circ01194,gma-miR1514b-5p
GMA_circ01195,gma-miR1514b-5p
GMA_circ01132,gma-miR1514b-5p
GMA_circ00691,gma-miR1514b-5p
GMA_circ01093,gma-miR1514b-5p
GMA_circ00600,gma-miR5039
GMA_circ00968,gma-miR9760
GMA_circ00832,gma-miR1512a-5p
GMA_circ01208,gma-miR172h-5p
GMA_circ01206,gma-miR172h-5p
GMA_circ01207,gma-miR172h-5p
GMA_circ01205,gma-miR172h-5p
GMA_circ00393,gma-miR395l
GMA_circ00938,gma-miR2111c
GMA_circ01052,gma-miR2111c
GMA_circ01053,gma-miR2111c
GMA_circ01054,gma-miR2111c
GMA_circ01055,gma-miR2111c
GMA_circ01058,gma-miR2111c
GMA_circ01056,gma-miR1508c
GMA_circ01057,gma-miR1508c
GMA_circ00634,gma-miR1508c
GMA_circ00633,gma-miR1508c
GMA_circ00054,gma-miR4374b
GMA_circ00055,gma-miR4374b
GMA_circ00622,gma-miR5371-5p
GMA_circ00791,gma-miR397b-5p
GMA_circ00963,gma-miR1526
GMA_circ00964,gma-miR1526
GMA_circ00997,gma-miR1526
GMA_circ00998,gma-miR1526
GMA_circ01194,gma-miR1520f-3p
GMA_circ01195,gma-miR1520f-3p
GMA_circ00780,gma-miR1520f-3p
GMA_circ00722,gma-miR164e
GMA_circ00721,gma-miR164e
GMA_circ00985,gma-miR5035-3p
GMA_circ00634,gma-miR1507a
GMA_circ00633,gma-miR1507a
GMA_circ00206,gma-miR396a-3p
GMA_circ01214,gma-miR156b
GMA_circ01214,gma-miR156s
GMA_circ00812,gma-miR5780d
GMA_circ00947,gma-miR5780d
GMA_circ00946,gma-miR5780d
GMA_circ01105,gma-miR5780d
GMA_circ01106,gma-miR5780d
GMA_circ01107,gma-miR5780d
GMA_circ01103,gma-miR5780d
GMA_circ00633,gma-miR5780d
GMA_circ00634,gma-miR5780d
GMA_circ00784,gma-miR5780d
GMA_circ00770,gma-miR5780d
GMA_circ01109,gma-miR1507c-5p
GMA_circ01079,gma-miR1507c-5p
GMA_circ00634,gma-miR1507b
GMA_circ00633,gma-miR1507b
GMA_circ00986,gma-miR5035-5p
GMA_circ00950,gma-miR5035-5p
GMA_circ00951,gma-miR5035-5p
GMA_circ00722,gma-miR164f
GMA_circ00721,gma-miR164f
GMA_circ01121,gma-miR9738
GMA_circ00802,gma-miR4995
GMA_circ00630,gma-miR4995
GMA_circ00739,gma-miR5761b
GMA_circ00746,gma-miR5777
GMA_circ01178,gma-miR5777
GMA_circ01179,gma-miR5777
GMA_circ01176,gma-miR5777
GMA_circ01177,gma-miR5777
GMA_circ01191,gma-miR5777
GMA_circ01182,gma-miR5777
GMA_circ01190,gma-miR5777
GMA_circ01189,gma-miR5777
GMA_circ01187,gma-miR5777
GMA_circ01188,gma-miR5777
GMA_circ01042,gma-miR169v
GMA_circ01073,gma-miR4348a
GMA_circ01072,gma-miR4348a
GMA_circ00994,gma-miR4348a
GMA_circ00683,gma-miR4348a
GMA_circ01092,gma-miR9762
GMA_circ01179,gma-miR9766
GMA_circ01178,gma-miR9766
GMA_circ01176,gma-miR9766
GMA_circ01177,gma-miR9766
GMA_circ01171,gma-miR9766
GMA_circ01046,gma-miR9766
GMA_circ00985,gma-miR9766
GMA_circ00642,gma-miR396g
GMA_circ00639,gma-miR396g
GMA_circ00701,gma-miR396g
GMA_circ01110,gma-miR396g
GMA_circ00768,gma-miR1507c-3p
GMA_circ01214,gma-miR1507c-3p
GMA_circ00641,gma-miR1507c-3p
GMA_circ00313,gma-miR4390
GMA_circ00701,gma-miR9763
GMA_circ01173,gma-miR4404
GMA_circ01175,gma-miR4404
GMA_circ01174,gma-miR4404
GMA_circ01181,gma-miR4404
GMA_circ01186,gma-miR4404
GMA_circ01184,gma-miR4404
GMA_circ01180,gma-miR4404
GMA_circ01183,gma-miR4404
GMA_circ01185,gma-miR4404
GMA_circ01179,gma-miR4404
GMA_circ01178,gma-miR4404
GMA_circ01176,gma-miR4404
GMA_circ01177,gma-miR4404
GMA_circ01191,gma-miR4404
GMA_circ01182,gma-miR4404
GMA_circ01190,gma-miR4404
GMA_circ01189,gma-miR4404
GMA_circ01187,gma-miR4404
GMA_circ01188,gma-miR4404
GMA_circ01214,gma-miR156v
GMA_circ00412,gma-miR156v
GMA_circ00948,gma-miR156v
GMA_circ01052,gma-miR5775
GMA_circ01053,gma-miR5775
GMA_circ01054,gma-miR5775
GMA_circ01055,gma-miR5775
GMA_circ01058,gma-miR5775
GMA_circ01034,gma-miR394c-5p
GMA_circ01035,gma-miR394c-5p
GMA_circ01033,gma-miR394c-5p
GMA_circ01057,gma-miR9749
GMA_circ01056,gma-miR9749
GMA_circ00550,gma-miR9749
GMA_circ00550,gma-miR9749
GMA_circ00550,gma-miR9749
GMA_circ00781,gma-miR9749
GMA_circ00782,gma-miR9749
GMA_circ00783,gma-miR9749
GMA_circ00840,gma-miR1514a-3p
GMA_circ00786,gma-miR1514a-3p
GMA_circ00660,gma-miR530c
GMA_circ01132,gma-miR530c
GMA_circ00938,gma-miR2111b
GMA_circ01052,gma-miR2111b
GMA_circ01053,gma-miR2111b
GMA_circ01054,gma-miR2111b
GMA_circ01055,gma-miR2111b
GMA_circ01058,gma-miR2111b
GMA_circ00507,gma-miR1535a
GMA_circ01194,gma-miR5043
GMA_circ01195,gma-miR5043
GMA_circ00018,gma-miR5043
GMA_circ00019,gma-miR5043
GMA_circ00722,gma-miR164k
GMA_circ00721,gma-miR164k
GMA_circ01194,gma-miR1520n
GMA_circ01195,gma-miR1520n
GMA_circ00576,gma-miR396i-5p
GMA_circ00145,gma-miR5770b
GMA_circ00146,gma-miR5770b
GMA_circ00411,gma-miR168b
GMA_circ01104,gma-miR168b
GMA_circ01003,gma-miR4403
GMA_circ00987,gma-miR5679
GMA_circ00986,gma-miR5679
GMA_circ00985,gma-miR5679
GMA_circ00947,gma-miR4996
GMA_circ00946,gma-miR4996
GMA_circ00745,gma-miR4996
GMA_circ00948,gma-miR4996
GMA_circ01052,gma-miR1521a
GMA_circ01053,gma-miR1521a
GMA_circ01054,gma-miR1521a
GMA_circ01055,gma-miR1521a
GMA_circ01058,gma-miR1521a
GMA_circ01059,gma-miR1521a
GMA_circ01060,gma-miR1521a
GMA_circ01061,gma-miR1521a
GMA_circ01064,gma-miR1521a
GMA_circ01066,gma-miR1521a
GMA_circ01067,gma-miR1521a
GMA_circ00723,gma-miR1521a
GMA_circ01169,gma-miR1521a
GMA_circ00746,gma-miR172k
GMA_circ00710,gma-miR159a-5p
GMA_circ00622,gma-miR1519
GMA_circ00660,gma-miR530b
GMA_circ01132,gma-miR530b
GMA_circ00808,gma-miR4375
GMA_circ00749,gma-miR4375
GMA_circ00964,gma-miR4414-3p
GMA_circ01034,gma-miR394a-5p
GMA_circ01035,gma-miR394a-5p
GMA_circ01033,gma-miR394a-5p
GMA_circ00393,gma-miR395j
GMA_circ00832,gma-miR1512b
GMA_circ00393,gma-miR395a
GMA_circ01211,gma-miR4371b
GMA_circ01212,gma-miR4371b
GMA_circ00938,gma-miR1521b
GMA_circ01194,gma-miR1521b
GMA_circ01195,gma-miR1521b
GMA_circ00941,gma-miR4399
GMA_circ00623,gma-miR1530
GMA_circ00827,gma-miR1530
GMA_circ00776,gma-miR1530
GMA_circ00622,gma-miR1530
GMA_circ00707,gma-miR1530
GMA_circ00836,gma-miR1530
GMA_circ00704,gma-miR1530
GMA_circ00701,gma-miR1530
GMA_circ00941,gma-miR1530
GMA_circ00745,gma-miR1530
GMA_circ00997,gma-miR1530
GMA_circ00663,gma-miR4405
GMA_circ00662,gma-miR4405
GMA_circ00985,gma-miR4405
GMA_circ00998,gma-miR169h
GMA_circ00660,gma-miR530e
