miRNA,mRNA
ath-miR5645d,AT5G45105
ath-miR5645d,AT5G45105
ath-miR394b-5p,AT1G27340
ath-miR394b-5p,AT5G09672
ath-miR394b-5p,AT5G09670
ath-miR394b-5p,AT5G09670
ath-miR394b-5p,AT4G14850
ath-miR394b-5p,AT5G64550
ath-miR394b-5p,AT5G64552
ath-miR394b-5p,AT4G20430
ath-miR394b-5p,AT4G20430
ath-miR394b-5p,AT5G67130
ath-miR394b-5p,AT1G40104
ath-miR394b-5p,AT1G79790
ath-miR394b-5p,AT1G61400
ath-miR395d,AT5G43780
ath-miR395d,AT2G28780
ath-miR395d,AT1G50930
ath-miR395d,AT5G10180
ath-miR395d,AT5G13630
ath-miR395d,AT5G13630
ath-miR395d,AT4G14680
ath-miR395d,AT3G22890
ath-miR395d,AT4G23840
ath-miR5017-3p,AT4G21440
ath-miR838,AT2G45720
ath-miR838,AT2G45720
ath-miR838,AT5G07400
ath-miR838,AT1G12850
ath-miR838,AT5G20110
ath-miR838,AT1G62480
ath-miR838,AT2G01720
ath-miR838,AT3G06400
ath-miR838,AT3G06400
ath-miR838,AT3G06400
ath-miR838,AT2G05590
ath-miR838,AT2G05590
ath-miR838,AT3G12380
ath-miR838,AT3G12380
ath-miR838,AT3G10980
ath-miR838,AT5G43130
ath-miR838,AT5G43130
ath-miR838,AT4G37850
ath-miR838,AT1G21740
ath-miR838,AT3G26850
ath-miR838,AT3G26850
ath-miR838,AT1G75430
ath-miR838,AT5G46030
ath-miR838,AT1G72360
ath-miR838,AT1G72360
ath-miR838,AT1G72360
ath-miR838,AT5G21930
ath-miR838,AT5G21930
ath-miR838,AT5G21930
ath-miR838,AT4G22200
ath-miR838,AT1G67040
ath-miR838,AT5G40340
ath-miR838,AT5G22640
ath-miR838,AT5G22640
ath-miR838,AT2G04840
ath-miR838,AT5G09461
ath-miR838,AT5G09462
ath-miR838,AT5G09460
ath-miR838,AT5G09463
ath-miR838,AT5G02010
ath-miR838,AT3G15930
ath-miR838,AT2G18193
ath-miR838,AT4G38570
ath-miR838,AT1G36925
ath-miR838,AT3G22660
ath-miR838,AT1G10740
ath-miR838,AT1G10740
ath-miR838,AT1G10740
ath-miR838,AT1G10740
ath-miR838,AT3G20150
ath-miR838,AT1G10180
ath-miR838,AT2G41890
ath-miR838,AT1G13030
ath-miR838,AT3G16090
ath-miR838,AT5G17580
ath-miR838,AT1G54270
ath-miR838,AT5G45850
ath-miR838,AT1G54270
ath-miR838,AT4G39570
ath-miR838,AT1G28250
ath-miR838,AT5G02570
ath-miR838,AT3G12980
ath-miR838,AT1G42550
ath-miR838,AT3G57930
ath-miR838,AT3G57930
ath-miR838,AT5G39860
ath-miR838,AT1G19260
ath-miR838,AT4G09660
ath-miR838,AT3G29765
ath-miR838,AT3G29763
ath-miR838,AT5G17910
ath-miR838,AT5G17910
ath-miR838,AT5G10180
ath-miR838,AT5G57790
ath-miR838,AT5G57790
ath-miR838,AT5G41960
ath-miR838,AT3G47070
ath-miR838,AT5G38880
ath-miR838,AT5G24030
ath-miR838,AT1G27510
ath-miR838,AT3G07410
ath-miR838,AT5G05940
ath-miR838,AT5G01090
ath-miR838,AT2G04370
ath-miR838,AT4G04350
ath-miR838,AT4G01290
ath-miR838,AT4G01290
ath-miR838,AT2G29900
ath-miR838,AT3G62150
ath-miR838,AT3G02680
ath-miR838,AT1G35150
ath-miR838,AT5G58360
ath-miR838,AT1G75430
ath-miR5998b,AT1G71910
ath-miR5998b,AT5G37370
ath-miR5998b,AT5G37370
ath-miR5998b,AT5G37370
ath-miR5998b,AT2G13370
ath-miR5998b,AT4G30340
ath-miR5998b,AT1G56230
ath-miR5998b,AT3G25740
ath-miR5998b,AT1G05490
ath-miR5998b,AT5G54760
ath-miR5998b,AT5G54760
ath-miR5998b,AT1G36970
ath-miR5998b,AT2G21520
ath-miR5998b,AT1G27595
ath-miR5998b,AT2G21520
ath-miR5998b,AT1G04890
ath-miR5998b,AT4G33010
ath-miR5998b,AT4G33010
ath-miR5998b,AT3G47590
ath-miR5998b,AT5G53700
ath-miR5998b,AT5G14360
ath-miR5998b,AT2G29070
ath-miR5998b,AT2G29070
ath-miR5998b,AT4G36650
ath-miR396a-5p,AT3G52910
ath-miR396a-5p,AT2G36400
ath-miR396a-5p,AT5G53660
ath-miR396a-5p,AT4G24150
ath-miR396a-5p,AT2G22840
ath-miR396a-5p,AT4G37740
ath-miR396a-5p,AT1G10120
ath-miR396a-5p,AT2G42560
ath-miR396a-5p,AT5G01370
ath-miR396a-5p,AT2G34530
ath-miR396a-5p,AT2G34530
ath-miR396a-5p,AT5G58980
ath-miR396a-5p,AT5G43060
ath-miR396a-5p,AT2G45480
