miRNA,mRNA
ath-miR5021,AT3G16690
ath-miR5021,AT4G33960
ath-miR5021,AT4G00200
ath-miR5021,AT1G59750
ath-miR5021,AT1G59750
ath-miR5021,AT1G59750
ath-miR5021,AT5G66650
ath-miR5021,AT3G23810
ath-miR5021,AT2G36261
ath-miR5021,AT5G62680
ath-miR5021,AT4G37740
ath-miR5021,AT3G54740
ath-miR5021,AT3G54740
ath-miR5021,AT1G71910
ath-miR5021,AT1G23205
ath-miR5021,AT5G06600
ath-miR5021,AT5G06600
ath-miR5021,AT2G41820
ath-miR5021,AT2G35210
ath-miR5021,AT2G35210
ath-miR5021,AT5G15120
ath-miR5021,AT5G62320
ath-miR5021,AT1G15400
ath-miR5021,AT3G26810
ath-miR5021,AT2G25670
ath-miR5021,AT2G25670
ath-miR5021,AT3G62070
ath-miR5021,AT2G23460
ath-miR5021,AT1G62880
ath-miR5021,AT3G05680
ath-miR5021,AT3G05680
ath-miR5021,AT2G47800
ath-miR5021,AT5G60690
ath-miR5021,AT1G06230
ath-miR5021,AT1G06230
ath-miR5021,AT5G52950
ath-miR5021,AT4G37250
ath-miR5021,AT3G01750
ath-miR5021,AT5G15020
ath-miR5021,AT5G15020
ath-miR5021,AT2G02780
ath-miR5021,AT3G10370
ath-miR5021,AT1G55530
ath-miR5021,AT1G21060
ath-miR5021,AT5G57340
ath-miR5021,AT1G21060
ath-miR5021,AT1G43020
ath-miR5021,AT1G43020
ath-miR5021,AT1G64150
ath-miR5021,AT5G57340
ath-miR5021,AT4G18180
ath-miR5021,AT1G43020
ath-miR5021,AT1G69210
ath-miR5021,AT1G43020
ath-miR5021,AT1G69210
ath-miR5021,AT5G50810
ath-miR5021,AT2G25169
ath-miR5021,AT4G24290
ath-miR5021,AT4G24290
ath-miR5021,AT2G42810
ath-miR5021,AT1G76460
ath-miR5021,AT2G42810
ath-miR5021,AT4G08770
ath-miR5021,AT1G72060
ath-miR5021,AT4G15430
ath-miR5021,AT4G15430
ath-miR5021,AT1G50360
ath-miR5021,AT5G36001
ath-miR5021,AT4G32020
ath-miR5021,AT5G36001
ath-miR5021,AT3G17690
ath-miR5021,AT5G23390
ath-miR5021,AT2G22620
ath-miR5021,AT2G05160
ath-miR5021,AT1G56290
ath-miR5021,AT1G01650
ath-miR5021,AT2G22620
ath-miR5021,AT1G01650
ath-miR5021,AT4G24040
ath-miR5021,AT1G70100
ath-miR5021,AT1G70100
ath-miR5021,AT1G64780
ath-miR5021,AT2G48100
ath-miR5021,AT5G14740
ath-miR5021,AT5G14740
ath-miR5021,AT5G14740
ath-miR5021,AT5G14740
ath-miR5021,AT5G14740
ath-miR5021,AT3G11280
ath-miR5021,AT1G69780
ath-miR5021,AT2G38570
ath-miR5021,AT5G62950
ath-miR5021,AT5G50360
ath-miR5021,AT2G37110
ath-miR5021,AT5G17890
ath-miR5021,AT1G70670
ath-miR5021,AT5G11440
ath-miR5021,AT2G35900
ath-miR5021,AT3G45730
ath-miR5021,AT4G31830
ath-miR5021,AT3G19660
ath-miR5021,AT5G28850
ath-miR5021,AT3G22968
ath-miR5021,AT3G22970
ath-miR5021,AT3G22970
ath-miR5021,AT4G18130
ath-miR5021,AT1G72300
ath-miR5021,AT1G15430
ath-miR5021,AT5G07390
ath-miR5021,AT1G42550
ath-miR5021,AT5G44550
ath-miR5021,AT5G07390
ath-miR5021,AT5G42310
ath-miR5021,AT1G73200
ath-miR5021,AT5G63120
ath-miR5021,AT1G03930
ath-miR5021,AT1G31650
ath-miR5021,AT3G15030
ath-miR5021,AT5G63120
ath-miR5021,AT1G73670
ath-miR5021,AT5G35200
ath-miR5021,AT3G09000
ath-miR5021,AT3G15030
ath-miR5021,AT3G15030
ath-miR5021,AT5G40760
ath-miR5021,AT3G30110
ath-miR5021,AT5G22830
ath-miR5021,AT4G33950
ath-miR5021,AT3G59760
ath-miR5021,AT3G59760
ath-miR5021,AT3G59760
ath-miR5021,AT2G26100
ath-miR5021,AT2G28480
ath-miR5021,AT4G34180
ath-miR5021,AT1G56090
ath-miR5021,AT2G25190
ath-miR5021,AT4G13110
ath-miR5021,AT1G20090
ath-miR5021,AT4G13870
ath-miR5021,AT4G36060
ath-miR5021,AT4G13870
ath-miR5021,AT2G01275
ath-miR5021,AT2G47560
ath-miR5021,AT4G36060
ath-miR5021,AT4G15975
ath-miR5021,AT2G44910
ath-miR5021,AT5G66090
ath-miR5021,AT3G22320
ath-miR5021,AT1G70895
ath-miR5021,AT4G00905
ath-miR5021,AT1G70895
ath-miR5021,AT5G09990
ath-miR5021,AT4G35783
ath-miR5021,AT1G06150
ath-miR5021,AT2G47770
ath-miR5021,AT5G53350
ath-miR5021,AT1G79630
ath-miR5021,AT1G79630
ath-miR5021,AT5G55120
ath-miR5021,AT1G79630
ath-miR5021,AT1G75930
ath-miR5021,AT1G06150
ath-miR5021,AT1G06149
ath-miR5021,AT4G28340
ath-miR5021,AT2G43810
ath-miR5021,AT2G43810
ath-miR5021,AT1G11470
ath-miR5021,AT1G14910
ath-miR5021,AT1G79400
ath-miR5021,AT4G21380
ath-miR5021,AT3G07960
ath-miR5021,AT2G03450
ath-miR5021,AT3G06150
ath-miR5021,AT3G22104
ath-miR5021,AT3G26700
ath-miR5021,AT1G66350
ath-miR5021,AT4G05520
ath-miR5021,AT2G47115
ath-miR5021,AT5G66330
ath-miR5021,AT5G49340
ath-miR5021,AT1G09130
ath-miR5021,AT1G09130
ath-miR5021,AT5G09820
ath-miR5021,AT3G04420
ath-miR5021,AT4G20430
ath-miR5021,AT5G09820
ath-miR5021,AT1G09130
ath-miR5021,AT5G40210
ath-miR5021,AT4G20430
ath-miR5021,AT4G17500
ath-miR5021,AT5G10510
ath-miR5021,AT5G16250
ath-miR5021,AT4G11830
ath-miR5021,AT1G45160
ath-miR5021,AT4G11830
ath-miR5021,AT1G71950
ath-miR5021,AT1G45160
ath-miR5021,AT5G10510
ath-miR5021,AT5G15580
ath-miR5021,AT1G69543
ath-miR5021,AT1G54710
ath-miR5021,AT4G18140
ath-miR5021,AT4G32820
ath-miR5021,AT4G32820
ath-miR5021,AT5G51070
ath-miR5021,AT3G61040
ath-miR5021,AT5G57320
ath-miR5021,AT3G51620
ath-miR5021,AT3G51620
ath-miR5021,AT3G61040
ath-miR5021,AT1G71500
ath-miR5021,AT3G46500
ath-miR5021,AT5G40120
ath-miR5021,AT1G01490
ath-miR5021,AT3G26020
ath-miR5021,AT3G26020
ath-miR5021,AT3G26020
ath-miR5021,AT4G00720
ath-miR5021,AT1G14670
ath-miR5021,AT3G26020
ath-miR5021,AT4G37760
ath-miR5021,AT1G03240
ath-miR5021,AT4G13710
ath-miR5021,AT4G13710
ath-miR5021,AT4G02600
ath-miR5021,AT4G02600
ath-miR5021,AT2G28650
ath-miR5021,AT2G33150
ath-miR5021,AT1G69360
ath-miR5021,AT1G66150
ath-miR5021,AT5G08520
ath-miR5021,AT5G52660
ath-miR5021,AT5G52660
ath-miR5021,AT4G36530
ath-miR5021,AT5G56140
ath-miR5021,AT4G36530
ath-miR5021,AT1G34320
ath-miR5021,AT3G59470
ath-miR5021,AT2G01670
ath-miR5021,AT3G15820
ath-miR5021,AT5G50210
ath-miR5021,AT1G67050
ath-miR5021,AT5G39790
ath-miR5021,AT5G55370
ath-miR5021,AT3G15170
ath-miR5021,AT1G06770
ath-miR5021,AT1G75690
ath-miR5021,AT5G10310
ath-miR5021,AT3G08550
ath-miR5021,AT4G17150
ath-miR5021,AT4G34950
ath-miR5021,AT4G20830
ath-miR5021,AT4G17350
ath-miR5021,AT4G20830
ath-miR5021,AT5G18460
ath-miR5021,AT1G06770
ath-miR5021,AT3G62770
ath-miR5021,AT5G52060
ath-miR5021,AT5G10930
ath-miR5021,AT3G62770
ath-miR5021,AT1G66090
ath-miR5021,AT3G15530
ath-miR5021,AT3G15530
ath-miR5021,AT4G09040
ath-miR5021,AT5G44150
ath-miR5021,AT3G08010
ath-miR5021,AT2G41530
ath-miR5021,AT4G28640
ath-miR5021,AT4G28640
ath-miR5021,AT4G28640
ath-miR5021,AT4G22305
ath-miR5021,AT5G65330
ath-miR5021,AT5G47820
ath-miR5021,AT4G27960
ath-miR5021,AT1G18620
ath-miR5021,AT3G44020
ath-miR5021,AT5G47820
ath-miR5021,AT5G51800
ath-miR5021,AT1G53090
ath-miR5021,AT2G38970
ath-miR5021,AT5G12080
ath-miR5021,AT2G46510
ath-miR5021,AT1G67350
ath-miR5021,AT5G43020
ath-miR5021,AT2G17440
ath-miR5021,AT2G43410
ath-miR5021,AT5G03670
ath-miR5021,AT2G43410
ath-miR5021,AT3G27290
ath-miR5021,AT4G14930
ath-miR5021,AT3G13040
ath-miR5021,AT2G46050
ath-miR5021,AT4G24230
ath-miR5021,AT5G66350
ath-miR5021,AT4G24230
ath-miR5021,AT1G75990
ath-miR5021,AT4G30440
ath-miR5021,AT1G56550
ath-miR5021,AT1G64040
ath-miR5021,AT4G36930
ath-miR5021,AT4G31750
ath-miR5021,AT4G26180
ath-miR5021,AT3G61130
ath-miR5021,AT3G14200
ath-miR5021,AT4G34110
ath-miR5021,AT4G12120
ath-miR5021,AT4G09160
ath-miR5021,AT3G28007
ath-miR5021,AT5G23190
ath-miR5021,AT1G54290
ath-miR5021,AT3G10200
ath-miR5021,AT5G65310
ath-miR5021,AT2G32390
ath-miR5021,AT1G10417
ath-miR5021,AT3G11220
ath-miR5021,AT1G78700
ath-miR5021,AT3G11220
ath-miR5021,AT2G32390
ath-miR5021,AT1G53300
ath-miR5021,AT1G76980
ath-miR5021,AT1G29950
ath-miR5021,AT5G04140
ath-miR5021,AT5G01450
ath-miR5021,AT3G17430
ath-miR5021,AT4G14905
ath-miR5021,AT4G14905
ath-miR5021,AT3G20830
ath-miR5021,AT1G02470
ath-miR5021,AT5G35210
ath-miR5021,AT1G02470
ath-miR5021,AT4G28840
ath-miR5021,AT3G29000
ath-miR5021,AT5G35210
ath-miR5021,AT3G22220
ath-miR5021,AT3G22220
ath-miR5021,AT2G02160
ath-miR5021,AT3G18480
ath-miR5021,AT2G35155
ath-miR5021,AT3G50840
ath-miR5021,AT5G55850
ath-miR5021,AT5G55850
ath-miR5021,AT5G55850
ath-miR5021,AT2G31660
ath-miR5021,AT1G05300
ath-miR5021,AT1G17220
ath-miR5021,AT3G24880
ath-miR5021,AT4G30900
ath-miR5021,AT2G05710
ath-miR5021,AT5G07350
ath-miR5021,AT1G05300
ath-miR5021,AT5G52250
ath-miR5021,AT1G78150
ath-miR5021,AT1G51220
ath-miR5021,AT2G19710
ath-miR5021,AT4G35830
ath-miR5021,AT1G64065
ath-miR5021,AT5G07350
ath-miR5021,AT1G79950
ath-miR5021,AT1G78150
ath-miR5021,AT1G77640
ath-miR5021,AT5G05050
ath-miR5021,AT1G09570
ath-miR5021,AT3G20898
ath-miR5021,AT1G09570
ath-miR5021,AT2G45170
ath-miR5021,AT1G64390
ath-miR5021,AT4G32730
ath-miR5021,AT4G00300
ath-miR5021,AT3G19370
ath-miR5021,AT5G66810
ath-miR5021,AT5G28460
ath-miR5021,AT3G61520
ath-miR5021,AT2G36570
ath-miR5021,AT5G28370
ath-miR5021,AT4G36890
ath-miR5021,AT5G17910
ath-miR5021,AT2G17370
ath-miR5021,AT3G19490
ath-miR5021,AT5G03150
ath-miR5021,AT3G26744
ath-miR5021,AT3G22170
ath-miR5021,AT1G61100
ath-miR5021,AT5G22220
ath-miR5021,AT3G26744
ath-miR5021,AT1G61100
ath-miR5021,AT1G11820
ath-miR5021,AT3G26744
ath-miR5021,AT5G22220
ath-miR5021,AT3G06270
ath-miR5021,AT4G04955
ath-miR5021,AT2G18900
ath-miR5021,AT5G53860
ath-miR5021,AT1G64210
ath-miR5021,AT1G76970
ath-miR5021,AT5G53860
ath-miR5021,AT4G32730
ath-miR5021,AT4G20040
ath-miR5021,AT5G53860
ath-miR5021,AT1G11820
ath-miR5021,AT5G53860
ath-miR5021,AT3G09035
ath-miR5021,AT1G10700
ath-miR5021,AT1G03180
ath-miR5021,AT3G01900
ath-miR5021,AT1G20180
ath-miR5021,AT1G60620
ath-miR5021,AT4G34590
ath-miR5021,AT4G34588
ath-miR5021,AT5G16800
ath-miR5021,AT4G35350
ath-miR5021,AT5G53860
ath-miR5021,AT5G16800
ath-miR5021,AT5G16800
ath-miR5021,AT1G10470
ath-miR5021,AT4G35350
ath-miR5021,AT1G10380
ath-miR5021,AT3G43610
ath-miR5021,AT1G52340
ath-miR5021,AT5G11090
ath-miR5021,AT3G15260
ath-miR5021,AT4G11980
ath-miR5021,AT1G74000
ath-miR5021,AT1G03180
ath-miR5021,AT1G20180
ath-miR5021,AT2G14860
ath-miR5021,AT4G11060
ath-miR5021,AT2G27260
ath-miR5021,AT2G33810
ath-miR5021,AT2G17760
ath-miR5021,AT2G38130
ath-miR5021,AT5G52430
ath-miR5021,AT3G06770
ath-miR5021,AT2G26770
ath-miR5021,AT5G17300
ath-miR5021,AT4G24830
ath-miR5021,AT2G03310
ath-miR5021,AT1G70660
ath-miR5021,AT2G26770
ath-miR5021,AT1G70660
ath-miR5021,AT1G65080
ath-miR5021,AT3G49900
ath-miR5021,AT4G24830
ath-miR5021,AT1G75080
ath-miR5021,AT5G59220
ath-miR5021,AT4G29850
ath-miR5021,AT2G19940
ath-miR5021,AT1G74890
ath-miR5021,AT5G40770
ath-miR5021,AT1G55370
ath-miR5021,AT3G13960
ath-miR5021,AT1G75080
ath-miR5021,AT3G49900
ath-miR5021,AT5G10720
ath-miR5021,AT1G55370
ath-miR5021,AT3G28070
ath-miR5021,AT4G04890
ath-miR5021,AT3G28070
ath-miR5021,AT4G34680
ath-miR5021,AT2G35410
ath-miR5021,AT1G68320
ath-miR5021,AT3G50890
ath-miR5021,AT4G34680
ath-miR5021,AT5G65780
ath-miR5021,AT1G21695
ath-miR5021,AT1G07170
ath-miR5021,AT4G02880
ath-miR5021,AT2G47500
ath-miR5021,AT5G59760
ath-miR5021,AT3G14067
ath-miR5021,AT5G42500
ath-miR5021,AT4G24280
ath-miR5021,AT1G36380
ath-miR5021,AT1G07170
ath-miR5021,AT5G45110
ath-miR5021,AT5G42510
ath-miR5021,AT1G07170
ath-miR5021,AT5G38640
ath-miR5021,AT5G51480
ath-miR5021,AT5G15170
ath-miR5021,AT5G48460
ath-miR5021,AT1G58290
ath-miR5021,AT4G26110
ath-miR5021,AT5G22310
ath-miR5021,AT5G27380
ath-miR5021,AT4G20070
ath-miR5021,AT3G05910
ath-miR5021,AT5G39320
ath-miR5021,AT1G13130
ath-miR5021,AT1G35670
ath-miR5021,AT1G18620
ath-miR5021,AT1G24706
ath-miR5021,AT1G24706
ath-miR5021,AT1G20910
ath-miR5021,AT4G26110
ath-miR5021,AT5G19990
ath-miR5021,AT2G04540
ath-miR5021,AT4G36730
ath-miR5021,AT4G36730
ath-miR5021,AT2G35780
ath-miR5021,AT5G12150
ath-miR5021,AT4G04760
ath-miR5021,AT1G47740
ath-miR5021,AT3G05910
ath-miR5021,AT5G12150
ath-miR5021,AT5G20840
ath-miR5021,AT1G61250
ath-miR5021,AT5G61560
ath-miR5021,AT5G61560
ath-miR5021,AT1G61250
ath-miR5021,AT4G31550
ath-miR5021,AT4G31550
ath-miR5021,AT4G29260
ath-miR5021,AT4G02990
ath-miR5021,AT5G22000
ath-miR5021,AT3G53510
ath-miR5021,AT5G22000
ath-miR5021,AT4G04790
ath-miR5021,AT3G52300
ath-miR5021,AT3G52300
ath-miR5021,AT4G32080
ath-miR5021,AT5G22000
ath-miR5021,AT2G03630
ath-miR5021,AT2G34330
ath-miR5021,AT2G42790
ath-miR5021,AT1G51350
ath-miR5021,AT5G52960
ath-miR5021,AT2G03630
ath-miR5021,AT4G32080
ath-miR5021,AT5G65683
ath-miR5021,AT3G61830
ath-miR5021,AT5G11050
ath-miR5021,AT3G01120
ath-miR5021,AT3G28790
ath-miR5021,AT1G55365
ath-miR5021,AT5G65600
ath-miR5021,AT1G49710
ath-miR5021,AT3G03470
ath-miR5021,AT4G13340
ath-miR5021,AT1G02910
ath-miR5021,AT2G18245
ath-miR5021,AT3G13490
ath-miR5021,AT5G52500
ath-miR5021,AT3G21630
ath-miR5021,AT4G33130
ath-miR5021,AT4G33130
ath-miR5021,AT4G05160
ath-miR5021,AT4G33130
ath-miR5021,AT1G03495
ath-miR5021,AT2G47670
ath-miR5021,AT1G03940
ath-miR5021,AT3G52910
ath-miR5021,AT2G29940
ath-miR5021,AT4G02260
ath-miR5021,AT5G01380
ath-miR5021,AT4G02260
ath-miR5021,AT4G02260
ath-miR5021,AT1G60390
ath-miR5021,AT3G26730
ath-miR5021,AT1G74200
ath-miR5021,AT2G02150
ath-miR5021,AT1G33050
ath-miR5021,AT1G33050
ath-miR5021,AT1G33050
ath-miR5021,AT1G33050
ath-miR5021,AT1G08960
ath-miR5021,AT1G31920
ath-miR5021,AT3G18773
ath-miR5021,AT1G59970
ath-miR5021,AT1G34360
ath-miR5021,AT2G20120
ath-miR5021,AT1G08710
ath-miR5021,AT3G28200
ath-miR5021,AT2G21610
ath-miR5021,AT1G08710
ath-miR5021,AT3G26295
ath-miR5021,AT3G28130
ath-miR5021,AT3G28130
ath-miR5021,AT5G48580
ath-miR5021,AT1G65580
ath-miR5021,AT3G51950
ath-miR5021,AT3G51950
ath-miR5021,AT2G28840
ath-miR5021,AT1G54090
ath-miR5021,AT2G43010
ath-miR5021,AT2G43010
ath-miR5021,AT3G03700
ath-miR5021,AT3G04440
ath-miR5021,AT1G54030
ath-miR5021,AT1G32160
ath-miR5021,AT1G76360
ath-miR5021,AT1G18120
ath-miR5021,AT1G70480
ath-miR5021,AT4G03175
ath-miR5021,AT4G12110
ath-miR5021,AT5G03170
ath-miR5021,AT3G51430
ath-miR5021,AT5G04600
ath-miR5021,AT3G51430
ath-miR5021,AT2G22850
ath-miR5021,AT5G60650
ath-miR5021,AT2G31380
ath-miR5021,AT5G10350
ath-miR5021,AT2G22850
ath-miR5021,AT4G01580
ath-miR5021,AT4G29905
ath-miR5021,AT3G44716
ath-miR5021,AT5G46960
ath-miR5021,AT3G44716
ath-miR5021,AT1G65295
ath-miR5021,AT4G29680
ath-miR5021,AT5G52810
ath-miR5021,AT1G60870
ath-miR5021,AT3G23700
ath-miR5021,AT4G09010
ath-miR5021,AT5G44200
ath-miR5021,AT5G60570
ath-miR5021,AT5G41190
ath-miR5021,AT5G15780
ath-miR5021,AT2G20360
ath-miR5021,AT1G60670
ath-miR5021,AT1G60670
ath-miR5021,AT5G07100
ath-miR5021,AT1G26600
ath-miR5021,AT1G69390
ath-miR5021,AT3G51390
ath-miR5021,AT5G63230
ath-miR5021,AT5G02190
ath-miR5021,AT1G10850
ath-miR5021,AT1G04310
ath-miR5021,AT3G49160
ath-miR5021,AT3G62660
ath-miR5021,AT5G33290
ath-miR5021,AT2G23460
ath-miR5021,AT5G24670
ath-miR5021,AT4G17150
ath-miR5021,AT4G09040
ath-miR5021,AT5G56270
ath-miR5021,AT5G15580
ath-miR5021,AT4G30993
ath-miR5021,AT4G30993
ath-miR5021,AT3G07870
ath-miR5021,AT5G28350
ath-miR5021,AT1G28560
ath-miR5021,AT1G28560
ath-miR5021,AT5G28442
ath-miR5021,AT4G35830
ath-miR5021,AT5G57870
ath-miR5021,AT5G57870
ath-miR5021,AT3G22170
ath-miR5021,AT1G01060
ath-miR5021,AT3G01040
ath-miR5021,AT3G01040
ath-miR5021,AT1G67050
ath-miR5021,AT1G54710
ath-miR5021,AT5G47050
ath-miR5021,AT4G24480
ath-miR5021,AT3G13960
ath-miR5021,AT1G18620
ath-miR5021,AT1G49900
ath-miR5021,AT5G65683
ath-miR5021,AT1G13060
ath-miR5021,AT1G23205
ath-miR5021,AT1G21060
ath-miR5021,AT5G51480
ath-miR5021,AT1G21060
ath-miR5021,AT1G64040
ath-miR5021,AT1G11820
ath-miR5021,AT1G11820
ath-miR5021,AT4G38340
ath-miR5021,AT1G01060
ath-miR169b-5p,AT5G42120
ath-miR169b-5p,AT5G12840
ath-miR169b-5p,AT5G12840
ath-miR169b-5p,AT5G12840
ath-miR169b-5p,AT5G12840
ath-miR169b-5p,AT1G17590
ath-miR169b-5p,AT1G17590
ath-miR169b-5p,AT1G54160
ath-miR169b-5p,AT1G17590
ath-miR169b-5p,AT1G17590
ath-miR169b-5p,AT3G20910
ath-miR169b-5p,AT5G06510
ath-miR169b-5p,AT5G06510
ath-miR169b-5p,AT3G05690
ath-miR169b-5p,AT5G06510
ath-miR169b-5p,AT1G72830
ath-miR169b-5p,AT1G72830
ath-miR169b-5p,AT1G72830
ath-miR167b,AT3G61310
ath-miR167b,AT5G37020
ath-miR167b,AT5G37020
ath-miR167b,AT5G19950
ath-miR167b,AT5G19950
ath-miR167b,AT5G19950
ath-miR167b,AT5G10550
ath-miR867,AT1G02660
ath-miR867,AT3G17750
ath-miR867,AT4G27910
ath-miR867,AT3G15650
ath-miR867,AT3G15650
ath-miR867,AT5G52340
ath-miR867,AT4G23840
ath-miR867,AT1G76940
ath-miR867,AT1G76940
ath-miR867,AT3G20270
ath-miR867,AT3G20270
ath-miR867,AT3G20270
ath-miR867,AT1G24530
ath-miR867,AT1G55070
ath-miR5651,AT2G43018
ath-miR5651,AT2G43020
ath-miR5651,AT2G17310
ath-miR8166,AT2G05120
ath-miR8166,AT2G05120
ath-miR8166,AT3G52180
ath-miR8166,AT3G52180
ath-miR8166,AT1G16320
ath-miR8166,AT2G42395
ath-miR8166,AT2G46640
ath-miR8166,AT2G46640
ath-miR8166,AT2G17900
ath-miR167a-5p,AT3G61310
ath-miR167a-5p,AT5G37020
ath-miR167a-5p,AT5G37020
ath-miR167a-5p,AT5G19950
ath-miR167a-5p,AT5G19950
ath-miR167a-5p,AT5G19950
ath-miR167a-5p,AT5G10550
ath-miR4245,AT1G57620
ath-miR4245,AT1G54660
ath-miR4245,AT1G23180
ath-miR157b-3p,AT1G36990
ath-miR157b-3p,AT2G43710
ath-miR157b-3p,AT2G43710
ath-miR157b-3p,AT4G27310
ath-miR157b-3p,AT1G34000
ath-miR157b-3p,AT3G57390
ath-miR157b-3p,AT3G57390
ath-miR5998a,AT1G71910
ath-miR5998a,AT5G37370
ath-miR5998a,AT5G37370
ath-miR5998a,AT5G37370
ath-miR5998a,AT2G13370
ath-miR5998a,AT4G30340
ath-miR5998a,AT1G56230
ath-miR5998a,AT3G25740
ath-miR5998a,AT1G05490
ath-miR5998a,AT5G54760
ath-miR5998a,AT5G54760
ath-miR5998a,AT1G36970
ath-miR5998a,AT2G21520
ath-miR5998a,AT1G27595
ath-miR5998a,AT2G21520
ath-miR5998a,AT1G04890
ath-miR5998a,AT4G33010
ath-miR5998a,AT4G33010
ath-miR5998a,AT3G47590
ath-miR5998a,AT5G53700
ath-miR5998a,AT5G14360
ath-miR5998a,AT2G29070
ath-miR5998a,AT2G29070
ath-miR5998a,AT4G36650
ath-miR169d,AT1G70700
ath-miR169d,AT1G70700
ath-miR169d,AT5G06510
ath-miR169d,AT5G06510
ath-miR169d,AT3G05690
ath-miR169d,AT5G06510
ath-miR169d,AT4G00893
ath-miR169d,AT3G20910
ath-miR169d,AT5G12840
ath-miR169d,AT5G12840
ath-miR169d,AT5G12840
ath-miR169d,AT5G12840
ath-miR169d,AT1G54160
ath-miR169d,AT1G68560
ath-miR169d,AT2G46020
ath-miR169d,AT2G46020
ath-miR169d,AT4G12382
ath-miR169d,AT4G12382
ath-miR839-5p,AT2G27350
ath-miR839-5p,AT2G27350
ath-miR839-5p,AT2G27350
ath-miR839-5p,AT2G27350
ath-miR839-5p,AT2G27350
ath-miR839-5p,AT2G27350
ath-miR839-5p,AT1G30760
ath-miR413,AT4G20450
ath-miR413,AT1G29820
ath-miR413,AT1G29820
ath-miR413,AT5G47380
ath-miR413,AT3G20150
ath-miR413,AT4G25560
ath-miR413,AT5G45580
ath-miR413,AT2G30500
ath-miR413,AT2G30500
ath-miR413,AT5G66060
ath-miR413,AT5G66060
ath-miR413,AT1G51890
ath-miR413,AT1G51890
ath-miR413,AT3G10480
ath-miR5662,AT3G30110
ath-miR5662,AT1G78390
ath-miR5662,AT4G10201
ath-miR5662,AT1G12130
ath-miR5662,AT3G49010
ath-miR5662,AT3G22710
ath-miR5662,AT3G49010
ath-miR5662,AT3G49010
ath-miR5662,AT3G49010
ath-miR5662,AT3G48960
ath-miR5662,AT3G49010
ath-miR5662,AT4G31110
ath-miR5662,AT3G51070
ath-miR5662,AT3G51260
ath-miR5662,AT3G51260
ath-miR5662,AT1G71880
ath-miR5662,AT3G10530
ath-miR854e,AT5G05100
ath-miR854e,AT5G19590
ath-miR854e,AT1G15530
ath-miR854e,AT1G53560
ath-miR854e,AT3G56110
ath-miR854e,AT3G56110
ath-miR854e,AT1G53770
ath-miR854e,AT1G53770
ath-miR854e,AT4G00680
ath-miR854e,AT1G50732
ath-miR854e,AT1G49290
ath-miR854e,AT3G10630
ath-miR854e,AT2G41640
ath-miR854e,AT2G41640
ath-miR854e,AT5G55370
ath-miR854e,AT3G02970
ath-miR854e,AT1G34370
ath-miR854e,AT1G34370
ath-miR854e,AT1G34370
ath-miR854e,AT3G62850
ath-miR3932a,AT4G17250
ath-miR3932a,AT4G17250
ath-miR3932a,AT5G48170
ath-miR3932a,AT1G54850
ath-miR3932a,AT5G42390
ath-miR169n,AT1G54160
ath-miR169n,AT1G17590
ath-miR169n,AT1G17590
ath-miR169n,AT1G72830
ath-miR169n,AT1G72830
ath-miR169n,AT1G72830
ath-miR169n,AT1G17590
ath-miR169n,AT1G17590
ath-miR169n,AT5G06510
ath-miR169n,AT5G06510
ath-miR169n,AT3G05690
ath-miR169n,AT5G06510
ath-miR169n,AT5G42120
ath-miR169n,AT5G12840
ath-miR169n,AT5G12840
ath-miR169n,AT5G12840
ath-miR169n,AT5G12840
ath-miR5635d,AT2G04235
ath-miR172b-5p,AT2G16500
ath-miR172b-5p,AT2G03820
ath-miR172b-5p,AT4G10970
ath-miR172b-5p,AT4G10970
ath-miR172b-5p,AT4G10970
ath-miR172b-5p,AT4G10970
ath-miR172b-5p,AT4G10970
ath-miR172b-5p,AT4G10970
ath-miR172b-5p,AT5G48830
ath-miR172b-5p,AT5G48830
ath-miR172b-5p,AT5G48410
ath-miR172b-5p,AT3G57330
ath-miR172b-5p,AT2G22950
ath-miR172b-5p,AT3G05430
ath-miR172b-5p,AT4G35731
ath-miR5632-3p,AT3G50390
ath-miR401,AT2G06095
ath-miR401,AT1G74260
ath-miR166e-5p,AT5G65970
ath-miR166e-5p,AT5G35670
ath-miR166e-5p,AT5G04240
ath-miR166e-5p,AT1G78420
ath-miR166e-5p,AT1G78420
ath-miR837-3p,AT2G42430
ath-miR837-3p,AT1G02410
ath-miR837-3p,AT1G79750
ath-miR837-3p,AT3G54750
ath-miR837-3p,AT1G06520
ath-miR837-3p,AT5G24810
ath-miR837-3p,AT3G28180
ath-miR837-3p,AT5G62500
ath-miR837-3p,AT1G25350
ath-miR837-3p,AT4G13800
ath-miR837-3p,AT2G28710
ath-miR837-3p,AT1G74850
ath-miR837-3p,AT1G27070
ath-miR837-3p,AT5G10330
ath-miR837-3p,AT5G10330
ath-miR837-3p,AT5G10330
ath-miR854a,AT5G05100
ath-miR854a,AT5G19590
ath-miR854a,AT1G15530
ath-miR854a,AT1G53560
ath-miR854a,AT3G56110
ath-miR854a,AT3G56110
ath-miR854a,AT1G53770
ath-miR854a,AT1G53770
ath-miR854a,AT4G00680
ath-miR854a,AT1G50732
ath-miR854a,AT1G49290
ath-miR854a,AT3G10630
ath-miR854a,AT2G41640
ath-miR854a,AT2G41640
ath-miR854a,AT5G55370
ath-miR854a,AT3G02970
ath-miR854a,AT1G34370
ath-miR854a,AT1G34370
ath-miR854a,AT1G34370
