Drug,Target,Combine_score
Prednisolone,ADRB2,0.095238095
Prednisolone,NTRK2,0.215
Prednisolone,PDP1,0.214
Prednisolone,BET3L,0.242
Prednisolone,ABHD3,0.186
Prednisolone,PDP2,0.214
Prednisolone,AVP,0.333333333
Prednisolone,SETX,0.193
Prednisolone,PTGER3,0.142857143
Prednisolone,JAK3,0.095238095
Prednisolone,ADHFE1,0.263
Prednisolone,NLRP3,0.095238095
Prednisolone,IL23A,0.095238095
Prednisolone,AHR,0.5
Prednisolone,RPS29,0.295
Prednisolone,IL5,0.31
Prednisolone,TOP2B,0.278
Prednisolone,TAT,0.197
Prednisolone,RPL13,0.184
Prednisolone,ENSG00000224712,0.237
Prednisolone,MEF2C,0.333333333
Prednisolone,CDK3,0.171
Prednisolone,NFKB1,0.18
Prednisolone,NOS1,0.596
Prednisolone,NR2F6,0.306
Prednisolone,GOT1,0.267
Prednisolone,FRZB,0.095238095
Prednisolone,E2F8,0.095238095
Prednisolone,CPS1,0.095238095
Prednisolone,HNRNPL,0.175
Prednisolone,EXOC2,0.174
Prednisolone,LEF1,0.095238095
Prednisolone,PPIAL4D,0.047619048
Prednisolone,HOXD3,0.19
Prednisolone,FLNC,0.347
Prednisolone,APH1A,0.181
Prednisolone,HEMK1,0.177
Prednisolone,RUNX2,0.215
Prednisolone,PTEN,0.181
Prednisolone,TDP1,0.5
Prednisolone,HPR,0.175
Prednisolone,GNRH1,0.095238095
Prednisolone,PTH,0.202
Prednisolone,BMP3,0.196
Prednisolone,FAS,0.259904762
Prednisolone,BTRC,0.41
Prednisolone,HP,0.177
Prednisolone,OTUD7B,0.095238095
Prednisolone,NAAA,0.174
Prednisolone,RBM14,0.095238095
Prednisolone,CD19,0.219
Prednisolone,ASPG,0.319
Prednisolone,LDHC,0.199
Prednisolone,RAB12,0.171
Prednisolone,ALDH1A1,0.229
Prednisolone,HOXA9,0.209
Prednisolone,MESP1,0.095238095
Prednisolone,CD52,0.185
Prednisolone,NDUFAB1,0.201
Prednisolone,PGR,0.452285714
Prednisolone,ENSG00000264813,0.277
Prednisolone,CCL19,0.333333333
Prednisolone,PDE3A,0.047619048
Prednisolone,CCL5,0.095238095
Prednisolone,ATP1A1,0.333333333
Prednisolone,THRA,0.306
Prednisolone,TF,0.095238095
Prednisolone,PPIAL4F,0.047619048
Prednisolone,ENSG00000236954,0.177
Prednisolone,PDE7B,0.238095238
Prednisolone,MTRR,0.457
Prednisolone,HAS1,0.095238095
Prednisolone,CCNI,0.232
Prednisolone,CTSL,0.095238095
Prednisolone,AGT,0.095238095
Prednisolone,PPARD,0.686047619
Prednisolone,NR2E1,0.306
Prednisolone,NCOA1,0.095238095
Prednisolone,BLVRB,0.142857143
Prednisolone,IFNB1,0.297
Prednisolone,VPS33B,0.248
Prednisolone,VPS33A,0.248
Prednisolone,WNT1,0.095238095
Prednisolone,YWHAH,0.095238095
Prednisolone,ANO6,0.178
Prednisolone,UTRN,0.665
Prednisolone,NET1,0.095238095
Prednisolone,ENSG00000214940,0.237
Prednisolone,PIK3R2,0.189
Prednisolone,SMTNL2,0.237
Prednisolone,ENSG00000183793,0.237
Prednisolone,PCSK4,0.18
Prednisolone,ENSG00000269469,0.229
Prednisolone,N6AMT1,0.177
Prednisolone,LSM1,0.252
Prednisolone,PLA2G1B,0.095238095
Prednisolone,VCAM1,0.179
Prednisolone,TNFSF18,0.095238095
Prednisolone,PLG,0.095238095
Prednisolone,SPTA1,0.237
Prednisolone,JUN,0.629
Prednisolone,AR,1
Prednisolone,CMAS,0.2
Prednisolone,CRABP1,0.232
Prednisolone,TRAPPC5,0.276
Prednisolone,GPAM,0.207
Prednisolone,MICAL1,0.237
Prednisolone,FFAR1,0.095238095
Prednisolone,E2F7,0.095238095
Prednisolone,SNX10,0.333333333
Prednisolone,IGF1,0.736
Prednisolone,PRLR,0.142857143
Prednisolone,PRKCD,0.238095238
Prednisolone,PLS1,0.237
Prednisolone,NR0B1,0.933904762
Prednisolone,ACSL3,0.095238095
Prednisolone,CD5,0.312
Prednisolone,RIPK2,0.333333333
Prednisolone,PPP5C,0.095238095
Prednisolone,INHBA,0.204
Prednisolone,IL17A,0.173
Prednisolone,ADA,0.095238095
Prednisolone,RELB,0.095238095
Prednisolone,ALDH1A2,0.229
Prednisolone,PRKCB,0.047619048
Prednisolone,CSF3,0.266
Prednisolone,ITGAL,0.095238095
Prednisolone,PRKCG,0.047619048
Prednisolone,ALDH2,0.229
Prednisolone,SIX1,0.095238095
Prednisolone,LOC728888,0.237
Prednisolone,ENSG00000214967,0.237
Prednisolone,OTP,0.193
Prednisolone,HLA-DRB1,0.255
Prednisolone,MECOM,0.095238095
Prednisolone,RAB7A,0.18
Prednisolone,PPARGC1A,0.246
Prednisolone,HNF1B,0.095238095
Prednisolone,HLCS,0.208
Prednisolone,PDE4D,0.238095238
Prednisolone,POLE,0.251
Prednisolone,CCNG1,0.232
Prednisolone,ZAK,0.171
Prednisolone,ARRDC3,0.225
Prednisolone,HAS2,0.095238095
Prednisolone,HDAC2,0.095238095
Prednisolone,ALPP,0.269
Prednisolone,CD40LG,0.392
Prednisolone,NR6A1,0.306
Prednisolone,CD86,0.095238095
Prednisolone,IL1B,1
Prednisolone,FOXJ1,0.19
Prednisolone,MEOX1,0.193
Prednisolone,ME3,0.302
Prednisolone,F3,0.265
Prednisolone,EIF2S3,0.263
Prednisolone,CYP51A1,0.184
Prednisolone,TMEM27,0.333333333
Prednisolone,ACP2,0.234
Prednisolone,GNRHR,0.047619048
Prednisolone,RXRB,0.306
Prednisolone,KIAA1804,0.171
Prednisolone,ME1,0.302
Prednisolone,ERBB2,0.095238095
Prednisolone,GNPAT,0.287
Prednisolone,ZBTB16,0.3
Prednisolone,PXDN,0.2
Prednisolone,LCP1,0.237
Prednisolone,ISCU,0.174
Prednisolone,APOC2,0.095238095
Prednisolone,SYNE2,0.237
Prednisolone,FASLG,0.095238095
Prednisolone,NPIPL3,0.237
Prednisolone,CLMN,0.237
Prednisolone,PTGER4,0.142857143
Prednisolone,ACTN4,0.237
Prednisolone,FURIN,0.18
Prednisolone,RASEF,0.171
Prednisolone,TGFB1,0.218
Prednisolone,KTI12,0.187
Prednisolone,NID1,0.194
Prednisolone,TRPV1,0.619047619
Prednisolone,CXCL12,0.194
Prednisolone,EHBP1L1,0.237
Prednisolone,HIF1A,0.5
Prednisolone,APH1B,0.181
Prednisolone,CD68,0.18
Prednisolone,CCNB2,0.307
Prednisolone,IL4,0.897761905
Prednisolone,AKT2,0.333333333
Prednisolone,MT-ATP6,0.18
Prednisolone,PAPSS1,0.2
Prednisolone,TOP2A,0.248
Prednisolone,NTRK3,0.215
Prednisolone,ATP12A,0.172
Prednisolone,THRB,0.306
Prednisolone,RNASEH1,0.183
Prednisolone,GSC,0.193
Prednisolone,SLC5A7,0.177
Prednisolone,POLR2F,0.178
Prednisolone,NFE2L2,1
Prednisolone,PDE4A,0.238095238
Prednisolone,TLR3,0.19
Prednisolone,TAC1,0.8
Prednisolone,ESR2,0.306
Prednisolone,TYW1,0.335
Prednisolone,TCP1,0.095238095
Prednisolone,SMARCAL1,0.095238095
Prednisolone,ANXA4,0.333333333
Prednisolone,MASP1,0.316
Prednisolone,ANGPTL3,0.095238095
Prednisolone,CYP7B1,0.184
Prednisolone,SNCB,0.095238095
Prednisolone,SIX4,0.095238095
Prednisolone,NCAM1,0.213
Prednisolone,ITGB2,0.095238095
Prednisolone,SLC4A7,0.332
Prednisolone,ENPP1,0.047619048
Prednisolone,MICAL2,0.237
Prednisolone,IL15,0.38
Prednisolone,PCSK5,0.18
Prednisolone,APOA2,0.095238095
Prednisolone,PEPD,0.269
Prednisolone,CLOCK,0.095238095
Prednisolone,ATP1A4,0.047619048
Prednisolone,NR2C2,0.371
Prednisolone,MEOX2,0.193
Prednisolone,SERPINE2,0.095238095
Prednisolone,BGLAP,0.234
Prednisolone,RBM42,0.354
Prednisolone,PTPN22,0.474
Prednisolone,ABAT,0.8
Prednisolone,SLC25A48,0.175
Prednisolone,SMUG1,0.214
Prednisolone,ESR1,0.702571429
Prednisolone,MICALL2,0.237
Prednisolone,TRAPPC6A,0.258
Prednisolone,RC3H1,0.095238095
Prednisolone,IFNA2,0.095238095
Prednisolone,NR0B2,0.306
Prednisolone,TNFSF4,0.095238095
Prednisolone,NCOA6,0.095238095
Prednisolone,PDE4C,0.238095238
Prednisolone,STAT6,0.095238095
Prednisolone,ATP4A,0.172
Prednisolone,HDHD3,0.192
Prednisolone,DMD,0.806
Prednisolone,IL23R,0.095238095
Prednisolone,HAP1,0.095238095
Prednisolone,NDOR1,0.335
Prednisolone,TNFRSF1B,0.437
Prednisolone,CRY1,0.412809524
Prednisolone,ANXA8,0.333333333
Prednisolone,LRP1,0.095238095
Prednisolone,GAS2L2,0.237
Prednisolone,ACTN2,0.237
Prednisolone,HMBS,0.203
Prednisolone,ACACB,0.194
Prednisolone,CD40,0.188
Prednisolone,IL18R1,0.095238095
Prednisolone,HMGCR,0.095238095
Prednisolone,USH2A,0.178
Prednisolone,SLC25A29,0.175
Prednisolone,CRHP,0.237
Prednisolone,BMP4,0.095238095
Prednisolone,RIOK3,0.219
Prednisolone,LMO3,0.095238095
Prednisolone,GDA,0.185
Prednisolone,EPPK1,0.237
Prednisolone,DNAJC14,0.192
Prednisolone,AXIN1,0.2
Prednisolone,AVPR1A,0.333333333
Prednisolone,SPTBN1,0.237
Prednisolone,GBX1,0.18
Prednisolone,ALPPL2,0.322
Prednisolone,FKBP4,0.363
Prednisolone,SHH,0.251761905
Prednisolone,LGALS9,0.095238095
Prednisolone,PTGS1,0.619047619
Prednisolone,PLEC,0.237
Prednisolone,COG3,0.259
Prednisolone,PLA2G4A,0.095238095
Prednisolone,IL1RN,0.198
Prednisolone,SCFD1,0.276
Prednisolone,VAC14,0.202
Prednisolone,ACE,0.277
Prednisolone,SLC29A3,0.233
Prednisolone,LOC613037,0.237
Prednisolone,VEGFA,0.272
Prednisolone,PPP3R1,0.047619048
Prednisolone,MID1IP1,0.095238095
Prednisolone,CYP1A1,0.095238095
Prednisolone,GSX2,0.19
Prednisolone,NR1I3,0.306
Prednisolone,C5AR1,0.8
Prednisolone,EVPLL,0.237
Prednisolone,NDFIP1,0.095238095
Prednisolone,GABPA,0.195
Prednisolone,ABHD1,0.186
Prednisolone,TNFRSF8,0.266
Prednisolone,PTGER1,0.095238095
Prednisolone,RORC,0.5
Prednisolone,ESRRG,0.306
Prednisolone,POMC,0.859
Prednisolone,CCNB1,0.307
Prednisolone,PPIAL4C,0.047619048
Prednisolone,IL18,0.823
Prednisolone,PNPLA8,0.219
Prednisolone,HARBI1,0.233
Prednisolone,TRAPPC1,0.259
Prednisolone,KLF9,0.239
Prednisolone,SNX5,0.333333333
Prednisolone,PDC,0.095238095
Prednisolone,VSX2,0.191
Prednisolone,MRPL17,0.187
Prednisolone,NR2F2,0.306
Prednisolone,NFKB2,0.18
Prednisolone,ADORA1,0.238095238
Prednisolone,ADK,0.047619048
Prednisolone,COG4,0.276
Prednisolone,PRTN3,0.347
Prednisolone,GDF10,0.196
Prednisolone,PLS3,0.237
Prednisolone,OXTR,0.095238095
Prednisolone,RAB9A,0.18
Prednisolone,HCAR2,0.714285714
Prednisolone,RUNX1,0.216
Prednisolone,IL6,0.906
Prednisolone,PINLYP,0.095238095
Prednisolone,THBS4,0.095238095
Prednisolone,NR2C1,0.371
Prednisolone,RAB13,0.171
Prednisolone,ABHD2,0.186
Prednisolone,CABIN1,0.318
Prednisolone,COL17A1,0.174
Prednisolone,HHEX,0.095238095
Prednisolone,MRRF,0.219
Prednisolone,EVX2,0.188
Prednisolone,CDK1,0.171
Prednisolone,PTGS2,0.930666667
Prednisolone,TRIP12,0.402
Prednisolone,HLX,0.333333333
Prednisolone,GLUL,0.618
Prednisolone,PPIF,0.142857143
Prednisolone,GTPBP5,0.187
Prednisolone,FKBP5,0.555
Prednisolone,SNX16,0.333333333
Prednisolone,GBX2,0.18
Prednisolone,B2M,0.221
Prednisolone,NR3C2,1
Prednisolone,NANP,0.192
Prednisolone,PROX1,0.095238095
Prednisolone,ALB,0.404
Prednisolone,NR2F1,0.306
Prednisolone,ARNTL,0.095238095
Prednisolone,ACSL4,0.095238095
Prednisolone,ITGB1BP1,0.095238095
Prednisolone,FAF2,0.095238095
Prednisolone,PPIAL4E,0.047619048
Prednisolone,CDKN2A,0.333333333
Prednisolone,TLR9,0.095238095
Prednisolone,SLC4A11,0.467
Prednisolone,PER1,0.095238095
Prednisolone,RIPK4,0.208
Prednisolone,IMPDH2,0.264761905
Prednisolone,ARID1A,0.095238095
Prednisolone,JAM3,0.095238095
Prednisolone,PTCD1,0.203
Prednisolone,GTPBP10,0.187
Prednisolone,CCNB3,0.232
Prednisolone,MRPL2,0.204
Prednisolone,HLA-A,0.281
Prednisolone,GABRQ,0.3
Prednisolone,IL31,0.8
Prednisolone,MSX2,0.179
Prednisolone,ROCK1,0.095238095
Prednisolone,LEPR,0.2
Prednisolone,PET112,0.238
Prednisolone,SLC11A1,0.095238095
Prednisolone,ANG,0.095238095
Prednisolone,PPP3R2,0.142857143
Prednisolone,PAPSS2,0.2
Prednisolone,APOC1,0.095238095
Prednisolone,RARA,0.71002381
Prednisolone,ENSG00000248919,0.203
Prednisolone,HOXA2,0.191
Prednisolone,ENSG00000234719,0.237
Prednisolone,CCNO,0.232
Prednisolone,SOCS5,0.333333333
Prednisolone,NR1H2,0.372095238
Prednisolone,HSD11B2,0.816
Prednisolone,CPOX,0.287
Prednisolone,MAP3K7,0.171
Prednisolone,FKBP6,0.198
Prednisolone,BDNF,0.095238095
Prednisolone,DDAH2,0.176
Prednisolone,ITGA4,1
Prednisolone,PCSK9,0.095238095
Prednisolone,ELANE,0.095238095
Prednisolone,KDR,0.199
Prednisolone,SRD5A1,0.142857143
Prednisolone,ROR2,0.198
Prednisolone,ALDH1A3,0.229
Prednisolone,GPER,0.235
Prednisolone,HSD11B1,0.926095238
Prednisolone,POLA1,0.251
Prednisolone,P85B,0.189
Prednisolone,ME2,0.302
Prednisolone,CSF2,0.174
Prednisolone,ENSG00000254852,0.237
Prednisolone,VPS16,0.175
Prednisolone,CHUK,0.195
Prednisolone,GNL3,0.477
Prednisolone,CRY2,0.329571429
Prednisolone,PKD1P1,0.237
Prednisolone,FABP1,1
Prednisolone,BLOC1S1,0.242
Prednisolone,SORT1,0.095238095
Prednisolone,OPRK1,0.095238095
Prednisolone,CYP7A1,0.184
Prednisolone,GAS2L1,0.237
Prednisolone,ACTN1,0.237
Prednisolone,ESRRB,0.306
Prednisolone,ADIPOQ,0.333333333
Prednisolone,F2,0.256
Prednisolone,VPS45,0.258
Prednisolone,PRDX6,0.189
Prednisolone,HOXA4,0.177
Prednisolone,MASP2,0.42
Prednisolone,MOCS3,0.22
Prednisolone,SSBP1,0.292
Prednisolone,UBE2Q1,0.333333333
Prednisolone,PBLD,0.18
Prednisolone,MRRFP1,0.219
Prednisolone,CD8A,0.374
Prednisolone,SMC5,0.242
Prednisolone,SEPSECS,0.257
Prednisolone,NR1D2,0.786
Prednisolone,HOXC4,0.177
Prednisolone,NOG,0.192
Prednisolone,IKBKB,0.195
Prednisolone,LDHB,0.199
Prednisolone,TRAPPC3,0.242
Prednisolone,CD7,0.176
Prednisolone,FBXW11,0.209
Prednisolone,BICD1,0.095238095
Prednisolone,PRKCA,0.238095238
Prednisolone,PTGIS,0.184
Prednisolone,MSX1,0.179
Prednisolone,ENSG00000256861,0.248
Prednisolone,APOC3,0.095238095
Prednisolone,IL27RA,0.095238095
Prednisolone,IL8,0.213
Prednisolone,NR1I2,0.306
Prednisolone,SPTBN2,0.237
Prednisolone,SSC5D,0.333333333
Prednisolone,CD2,0.173
Prednisolone,CHRM4,0.047619048
Prednisolone,SLC5A8,0.177
Prednisolone,EHBP1,0.237
Prednisolone,POLD1,0.251
Prednisolone,MRPS14,0.295
Prednisolone,TNF,0.448
Prednisolone,CAMLG,0.142857143
Prednisolone,IRF3,0.095238095
Prednisolone,BLM,0.095238095
Prednisolone,CCNI2,0.232
Prednisolone,EEF1A1,0.178
Prednisolone,PAX8,0.171
Prednisolone,SPP1,0.8
Prednisolone,NTNG1,0.185
Prednisolone,ARRB1,0.095238095
Prednisolone,MAP2K5,0.095238095
Prednisolone,TRAPPC4,0.258
Prednisolone,PPARG,0.686047619
Prednisolone,ABCG2,0.331
Prednisolone,RAD52,0.222
Prednisolone,INHBB,0.204
Prednisolone,RECQL,0.095238095
Prednisolone,IFNL1,0.095238095
Prednisolone,ANGPTL4,0.095238095
Prednisolone,CYP17A1,0.095238095
Prednisolone,IFNG,0.46
Prednisolone,ALLC,0.179
Prednisolone,COG6,0.259
Prednisolone,CCNG2,0.328
Prednisolone,RAB9B,0.18
Prednisolone,PDE7A,0.238095238
Prednisolone,VPS53,0.276
Prednisolone,MLXIPL,0.095238095
Prednisolone,PAIP2,0.185
Prednisolone,GOT2,0.264
Prednisolone,KLF4,0.095238095
Prednisolone,PRKCZ,0.095238095
Prednisolone,LOC642778,0.237
Prednisolone,HDAC1,0.047619048
Prednisolone,GUF1,0.215
Prednisolone,ALDH1L1,0.229
Prednisolone,SPECC1L,0.237
Prednisolone,PPIA,0.142857143
Prednisolone,ENSG00000257767,0.229
Prednisolone,PDGFRB,0.27
Prednisolone,AKAP13,0.333333333
Prednisolone,ELOVL4,0.619047619
Prednisolone,LRRK1,0.176
Prednisolone,CD4,0.409
Prednisolone,DOC2B,0.333333333
Prednisolone,ACACA,0.194
Prednisolone,CREBRF,0.333333333
Prednisolone,BCL3,0.095238095
Prednisolone,TACR2,0.333333333
Prednisolone,HBQ1,0.472
Prednisolone,CUBN,0.095238095
Prednisolone,NOS2,0.974571429
Prednisolone,SYNE1,0.237
Prednisolone,FDFT1,0.174
Prednisolone,ENSG00000258973,0.171
Prednisolone,MICAL3,0.237
Prednisolone,PPT1,0.095238095
Prednisolone,GATA3,0.095238095
Prednisolone,SERPINA6,1
Prednisolone,FADS1,0.619047619
Prednisolone,VPS41,0.276
Prednisolone,ADNP,0.095238095
Prednisolone,CHRM3,0.047619048
Prednisolone,IL10,0.853428571
Prednisolone,CYP19A1,0.80952381
Prednisolone,CALR,0.095238095
Prednisolone,RPL11,0.316
Prednisolone,SYNE3,0.237
Prednisolone,IL2,0.261
Prednisolone,ENSG00000169203,0.237
Prednisolone,RGS2,0.095238095
Prednisolone,ESRRA,0.384
Prednisolone,SDHA,0.337
Prednisolone,PLA2R1,0.333333333
Prednisolone,SEMA4A,0.095238095
Prednisolone,MME,0.253
Prednisolone,PTGFR,0.095238095
Prednisolone,HOXD9,0.245
Prednisolone,NOTCH2,0.714285714
Prednisolone,PLIN5,0.095238095
Prednisolone,F12,0.095238095
Prednisolone,ANXA3,0.333333333
Prednisolone,RECQL4,0.095238095
Prednisolone,AQP4,0.282
Prednisolone,USP8,0.333333333
Prednisolone,SPTAN1,0.237
Prednisolone,ABCB1,0.5
Prednisolone,MICALL1,0.237
Prednisolone,SLC5A12,0.177
Prednisolone,PPARA,0.359
Prednisolone,FLAD1,0.263
Prednisolone,HOMER1,0.229
Prednisolone,HES2,0.193
Prednisolone,SMTNL1,0.237
Prednisolone,CFTR,1
Prednisolone,ZNF253,0.197
Prednisolone,VDR,0.462571429
Prednisolone,CYP3A4,0.261
Prednisolone,SLC8A1,0.619047619
Prednisolone,MMP7,0.095238095
Prednisolone,ANXA1,0.980952381
Prednisolone,BPI,0.095238095
Prednisolone,SLC25A45,0.175
Prednisolone,ABL1,0.095238095
Prednisolone,ADORA2A,0.238095238
Prednisolone,IL27,0.095238095
Prednisolone,ICAM1,0.224
Prednisolone,FLNB,0.237
Prednisolone,NDUFS8,0.307
Prednisolone,LSM4,0.252
Prednisolone,CYP8B1,0.184
Prednisolone,CRP,0.946
Prednisolone,TXNIP,0.294
Prednisolone,PTGER2,0.142857143
Prednisolone,C2CD5,0.333333333
Prednisolone,TUFM,0.234
Prednisolone,NT5C2,0.047619048
Prednisolone,UCHL5,0.179
Prednisolone,SCGB1A1,0.333333333
Prednisolone,UBE3C,0.279
Prednisolone,ALDH16A1,0.229
Prednisolone,EGFR,0.095238095
Prednisolone,HOMER2,0.229
Prednisolone,MACF1,0.237
Prednisolone,FADS2,0.619047619
Prednisolone,NOS3,0.596
Prednisolone,RAB40B,0.171
Prednisolone,SPTB,0.237
Prednisolone,FOXP3,0.095238095
Prednisolone,AGTR1,0.095238095
Prednisolone,TRAPPC6B,0.258
Prednisolone,PTPRC,0.3
Prednisolone,SMARCB1,0.331
Prednisolone,NR1H3,0.418238095
Prednisolone,CCL2,0.252
Prednisolone,OPRL1,0.095238095
Prednisolone,ZRANB3,0.714285714
Prednisolone,PCSK2,0.179
Prednisolone,CHRM2,0.047619048
Prednisolone,ALDH18A1,0.191
Prednisolone,RXRG,0.306
Prednisolone,SOX2,0.191
Prednisolone,TP53,0.547619048
Prednisolone,ALDH1B1,0.229
Prednisolone,PCSK1,0.18
Prednisolone,DSTYK,0.171
Prednisolone,CYP39A1,0.184
Prednisolone,SIRT1,0.333333333
Prednisolone,VPS52,0.213
Prednisolone,RARB,0.306
Prednisolone,NFKBIA,0.837
Prednisolone,RIPK1,0.095238095
Prednisolone,ENSG00000182824,0.177
Prednisolone,HRSP12,0.179
Prednisolone,ANXA2,0.333333333
Prednisolone,CD80,0.480666667
Prednisolone,IL12RB1,0.095238095
Prednisolone,ALDH9A1,0.229
Prednisolone,DHH,0.173
Prednisolone,ALDH1L2,0.229
Prednisolone,BIN3,0.714285714
Prednisolone,FN1,0.213
Prednisolone,IL4R,0.095238095
Prednisolone,VIP,0.333333333
Prednisolone,BMP5,0.309
Prednisolone,PTK7,0.173
Prednisolone,PIK3R3,0.189
Prednisolone,VIMP,0.095238095
Prednisolone,ENSG00000257390,0.174
Prednisolone,PTGIR,0.095238095
Prednisolone,CTSA,0.201
Prednisolone,SMARCA1,0.095238095
Prednisolone,LDHA,0.199
Prednisolone,CCR2,0.095238095
Prednisolone,ATP1A2,0.333333333
Prednisolone,FKBP8,0.198
Prednisolone,IMPDH1,0.327619048
Prednisolone,VEGFB,0.185
Prednisolone,RAD54L,0.095238095
Prednisolone,C10ORF54,0.095238095
Prednisolone,PIBF1,0.095238095
Prednisolone,BATF,0.095238095
Prednisolone,SLC26A6,0.2
Prednisolone,PCSK7,0.18
Prednisolone,CD79A,0.371
Prednisolone,PIK3R1,0.189
Prednisolone,BCL6,0.463333333
Prednisolone,NMUR2,0.095238095
Prednisolone,UBE3B,0.279
Prednisolone,NEDD4,0.095238095
Prednisolone,ALDH8A1,0.229
Prednisolone,61E3.4,0.237
Prednisolone,IHH,0.251761905
Prednisolone,FLNA,0.237
Prednisolone,SMO,0.095238095
Prednisolone,SPI-B,0.253
Prednisolone,NLRP10,0.095238095
Prednisolone,ENSG00000258311,0.242
Prednisolone,RARG,0.306
Prednisolone,PHB,0.095238095
Prednisolone,NOD2,0.095238095
Prednisolone,MTHFD1,0.095238095
Prednisolone,MPO,0.274
Prednisolone,SLC7A11,0.215
Prednisolone,PHLPP2,0.176
Prednisolone,CHRM1,0.047619048
Prednisolone,SEMA3D,0.178
Prednisolone,FAM230A,0.177
Prednisolone,REV3L,0.251
Prednisolone,PIKFYVE,0.175
Prednisolone,XCL1,0.095238095
Prednisolone,GLI3,0.095238095
Prednisolone,TBX19,0.199
Prednisolone,ALPL,0.269
Prednisolone,MAPK9,0.333333333
Prednisolone,ETS1,0.095238095
Prednisolone,SPTBN5,0.237
Prednisolone,MAP3K9,0.171
Prednisolone,RGN,0.095238095
Prednisolone,PPIAL4A,0.047619048
Prednisolone,NR3C1,1
Prednisolone,PAPD7,0.2
Prednisolone,ENSG00000258555,0.237
Prednisolone,SLC5A5,0.177
Prednisolone,SCN4A,0.2
Prednisolone,ATAD5,0.5
Prednisolone,NGF,0.181
Prednisolone,ANXA5,0.095238095
Prednisolone,GNL3L,0.477
Prednisolone,TRAPPC8,0.276
Prednisolone,CACTIN,0.095238095
Prednisolone,NR1H4,0.653
Prednisolone,POR,0.508714286
Prednisolone,SMC2,0.337
Prednisolone,EIF2S3L,0.263
Prednisolone,IL12B,0.095238095
Prednisolone,SERPINF1,0.252
Prednisolone,SPTBN4,0.237
Prednisolone,HSF1,0.5
Prednisolone,SPECC1,0.237
Prednisolone,SMTN,0.237
Prednisolone,RFK,0.142857143
Prednisolone,APOA5,0.095238095
Prednisolone,NPIP,0.237
Prednisolone,CNTD2,0.232
Prednisolone,ATP1A3,0.333333333
Prednisolone,SLC5A6,0.177
Prednisolone,PDE4B,0.238095238
Prednisolone,FLT4,0.24
Prednisolone,EPHX2,0.192
Prednisolone,HBA2,0.178
Prednisolone,TIMP3,0.217
Prednisolone,SLC25A20,0.175
Prednisolone,RXRA,0.371
Prednisolone,SOST,0.8
Prednisolone,IL6R,0.095238095
Prednisolone,PCSK6,0.18
Prednisolone,FCN1,0.095238095
Prednisolone,KIAA0220L,0.237
Prednisolone,IRF7,0.095238095
Prednisolone,T,0.199
Prednisolone,APOA1,0.095238095
Diflunisal,HTR2C,0.095238095
Diflunisal,FLJ00362,0.186
Diflunisal,NDRG2,0.619047619
Diflunisal,HDC,0.185
Diflunisal,ESRRA,0.5
Diflunisal,RGS2,0.19047619
Diflunisal,PPP1R16B,0.19047619
Diflunisal,RPS6KA6,0.095238095
Diflunisal,GLUD2,0.047619048
Diflunisal,UGT1A5,0.047619048
Diflunisal,UGT1A3,0.714285714
Diflunisal,FLAVIVIRUS POLYPROTEIN GENE,1
Diflunisal,PRKAB1,0.571428571
Diflunisal,SEMA4A,0.158
Diflunisal,FARS2,0.183
Diflunisal,TNFSF11,0.19047619
Diflunisal,TYMS,0.142857143
Diflunisal,CGB,0.154
Diflunisal,TH,0.19047619
Diflunisal,SULF1,0.17
Diflunisal,IL1B,0.19047619
Diflunisal,SLC22A1,0.19047619
Diflunisal,NOTCH1,0.19047619
Diflunisal,CYP3A5,0.19047619
Diflunisal,SLC22A8,0.047619048
Diflunisal,SCN11A,0.047619048
Diflunisal,DLL1,0.19047619
Diflunisal,CGB5,0.154
Diflunisal,AOC3,0.418
Diflunisal,CHRM3,0.095238095
Diflunisal,ADRA2C,0.19047619
Diflunisal,SCN7A,0.047619048
Diflunisal,RXRB,0.095238095
Diflunisal,FGF2,0.19047619
Diflunisal,RPS27A,0.17
Diflunisal,ARSJ,0.17
Diflunisal,SERPINF2,0.19047619
Diflunisal,MECOM,0.619047619
Diflunisal,CLCNKA,0.142857143
Diflunisal,ORM2,0.095238095
Diflunisal,MRPS12,0.182
Diflunisal,ACO2,0.17
Diflunisal,TBXAS1,0.19047619
Diflunisal,SLC17A8,0.193
Diflunisal,HDAC2,0.047619048
Diflunisal,ARRDC3,0.19047619
Diflunisal,BCHE,0.19047619
Diflunisal,RAD51D,0.156
Diflunisal,LY6E,0.19047619
Diflunisal,FABP2,0.428571429
Diflunisal,CYP1A2,0.19047619
Diflunisal,MLXIPL,0.19047619
Diflunisal,UGT2B7,0.7
Diflunisal,NRXN1,0.19047619
Diflunisal,ORM1,0.095238095
Diflunisal,ALOX15B,0.619047619
Diflunisal,KLF4,0.19047619
Diflunisal,CGB8,0.154
Diflunisal,IDS,0.17
Diflunisal,HDAC5,0.19047619
Diflunisal,ITPR3,0.194
Diflunisal,HDAC1,0.047619048
Diflunisal,AKR1C4,0.095238095
Diflunisal,PDCD11,0.209
Diflunisal,RXFP1,0.5
Diflunisal,ASIC1,0.047619048
Diflunisal,GDNF,0.19047619
Diflunisal,PRKAA2,0.571428571
Diflunisal,FLOT1,0.19047619
Diflunisal,HSPA1B,0.095238095
Diflunisal,SLC17A7,0.15
Diflunisal,IFNG,0.047619048
