Symbol,Category,MyID
ZNF681,mRNA,242
CTNNBL1,mRNA,243
CASQ2,mRNA,244
ZSCAN23,mRNA,245
ZNF84,mRNA,246
ANKRD55,mRNA,247
P2RY13,mRNA,248
NELFCD,mRNA,249
ELP2,mRNA,250
MYH13,mRNA,251
KCNK5,mRNA,252
TOM1L2,mRNA,253
PCSK1N,mRNA,254
RNASEH2C,mRNA,255
MT1X,mRNA,256
OR5P2,mRNA,257
MIPOL1,mRNA,258
DNAJB9,mRNA,259
UBE2G2,mRNA,260
MFAP2,mRNA,261
ULBP2,mRNA,262
SLC39A6,mRNA,263
KRTAP10-11,mRNA,264
PTPN20B,mRNA,265
PPM1F,mRNA,266
CHD2,mRNA,267
MTERF1,mRNA,268
ROPN1,mRNA,269
RABAC1,mRNA,270
LCE3D,mRNA,271
TRAF3IP2,mRNA,272
CACYBP,mRNA,273
DPYSL3,mRNA,274
ASPA,mRNA,275
TSTD2,mRNA,276
ECM2,mRNA,277
RHBDD1,mRNA,278
MROH6,mRNA,279
TAS2R14,mRNA,280
NSMAF,mRNA,281
RPL12,mRNA,282
FKBP4,mRNA,283
ACSF2,mRNA,284
ENST00000330044,mRNA,285
ING4,mRNA,286
DNAJB11,mRNA,287
MAPK9,mRNA,288
CHRNG,mRNA,289
RAF-1,mRNA,290
SEPT4,mRNA,291
STYK1,mRNA,292
LOC101928208,mRNA,293
GHITM,mRNA,294
MTRNR2L5,mRNA,295
CRYBA2,mRNA,296
SUV39H2,mRNA,297
ZNF362,mRNA,298
ERCC6-PGBD3,mRNA,299
SF1,mRNA,300
AKR1A1,mRNA,301
USP17L3,mRNA,302
CDR2,mRNA,303
EBLN2,mRNA,304
ARHGAP19-SLIT1,mRNA,305
ARMCX3,mRNA,306
INSM2,mRNA,307
ANKRD65,mRNA,308
SINHCAF,mRNA,309
CYTIP,mRNA,310
IL32,mRNA,311
SPHK2,mRNA,312
DYNLRB2,mRNA,313
ZNF418,mRNA,314
C1orf131,mRNA,315
CCDC81,mRNA,316
SIGLEC9,mRNA,317
PDRG1,mRNA,318
ASB4,mRNA,319
TRIM24,mRNA,320
BFAR,mRNA,321
