BioMarkers,Topotecan.estimate,Topotecan.se,Topotecan.n,Topotecan.tstat,Topotecan.fstat,Topotecan.pvalue,Topotecan.df,Topotecan.fdr
ENSG00000112029,0.215055725,0.04557969,487,4.718235847,22.26174951,3.15E-06,464,0.000403239
ENSG00000181800,-0.019133849,0.042580749,487,-0.449354442,0.201919415,0.653385808,464,0.828902733
ENSG00000187097,0.012153654,0.043348033,487,0.280373836,0.078609488,0.779315668,464,0.899570349
ENSG00000129673,-0.035086182,0.042001178,487,-0.835361859,0.697829435,0.403943925,464,0.658624962
ENSG00000204614,-0.049216675,0.042546786,487,-1.156765992,1.33810756,0.247963169,464,0.511103198
ENSG00000250067,0.070275735,0.043227152,487,1.625731336,2.643002375,0.104685782,464,0.312232271
ENSG00000120725,-0.133867817,0.04387693,487,-3.050984102,9.308503992,0.002411634,464,0.031301942
ENSG00000143643,0.041984014,0.04305527,487,0.975119036,0.950857134,0.330009305,464,0.591965093
ENSG00000183647,0.084530028,0.042550185,487,1.986596018,3.946563738,0.047554945,464,0.197437324
ENSG00000183283,-0.00301132,0.04222715,487,-0.071312422,0.005085462,0.943179835,464,0.975629353
ENSG00000116898,0.078487789,0.042797461,487,1.833935631,3.363319899,0.067303816,464,0.241922781
ENSG00000230550,0.026661933,0.047312698,487,0.563525944,0.31756149,0.573349028,464,0.780312712
ENSG00000256888,0.043730836,0.043543773,487,1.004295977,1.008610408,0.315759413,464,0.577881244
ENSG00000268516,0.030908315,0.042344266,487,0.729929175,0.5327966,0.465801818,464,0.706996526
ENSG00000164691,0.04026524,0.061366545,487,0.656143181,0.430523873,0.51205724,464,0.738544223
ENSG00000152910,-0.017925306,0.041991507,487,-0.426879329,0.182225962,0.66966522,464,0.837196502
ENSG00000107223,0.00792391,0.042235737,487,0.187611495,0.035198073,0.851263228,464,0.933959502
ENSG00000152642,0.019114723,0.044578422,487,0.428788683,0.183859735,0.668276011,464,0.836138394
ENSG00000188800,-0.004618582,0.042849957,487,-0.107784996,0.011617605,0.914212836,464,0.963484096
ENSG00000249695,-0.008830337,0.042896872,487,-0.205850371,0.042374375,0.836998078,464,0.92622545
ENSG00000081059,0.154479064,0.042965127,487,3.595452309,12.9272773,0.000358536,464,0.009062307
ENSG00000183036,-0.065560356,0.044074126,487,-1.487502138,2.21266261,0.137561472,464,0.36469362
ENSG00000143756,0.026237218,0.043805019,487,0.598954599,0.358746612,0.549495464,464,0.76351391
ENSG00000226328,-0.100315107,0.042769671,487,-2.345472951,5.501243365,0.019423239,464,0.115444031
ENSG00000171421,0.045594186,0.042530679,487,1.072030528,1.149249454,0.284263578,464,0.54762198
ENSG00000154548,0.03555582,0.050212156,487,0.708111792,0.50142231,0.479231391,464,0.715486433
ENSG00000108061,0.004461532,0.046795292,487,0.095341466,0.009089995,0.924084768,464,0.967449248
ENSG00000080224,0.004132794,0.042194453,487,0.097946379,0.009593493,0.922017167,464,0.966469757
ENSG00000171169,0.060771205,0.044989826,487,1.350776631,1.824597506,0.177425348,464,0.42372951
ENSG00000277182,-0.00766052,0.041811833,487,-0.183214172,0.033567433,0.854710004,464,0.936014804
ENSG00000105650,0.027422414,0.041820934,487,0.655710226,0.4299559,0.512335573,464,0.738550783
ENSG00000234949,-0.094251404,0.042303838,487,-2.227963432,4.963821054,0.02636158,464,0.138474364
ENSG00000267281,-0.014120511,0.044886318,487,-0.31458385,0.098962999,0.753219048,464,0.885068846
ENSG00000205309,0.013979684,0.045704727,487,0.305869534,0.093556172,0.759841165,464,0.888211296
ENSG00000211803,-0.083395714,0.041754031,487,-1.997309306,3.989244463,0.04637507,464,0.194270796
ENSG00000233728,0.051324924,0.042002495,487,1.22194943,1.49316041,0.22234716,464,0.481668763
ENSG00000122958,0.114166054,0.048204123,487,2.368387749,5.609260528,0.018274649,464,0.110921968
ENSG00000107738,-0.134463871,0.049057717,487,-2.740932111,7.512708839,0.006362982,464,0.058396796
ENSG00000253138,-0.07726305,0.041460222,487,-1.863546458,3.472805401,0.063016891,464,0.233675969
ENSG00000164626,-0.041942733,0.050938784,487,-0.823394855,0.677979087,0.410706482,464,0.663891993
ENSG00000171241,0.044885214,0.044089814,487,1.01804046,1.036406378,0.309189249,464,0.57156624
ENSG00000232977,-0.007576878,0.053681101,487,-0.141146105,0.019922223,0.887815779,464,0.952044018
ENSG00000249035,-0.045780542,0.04159546,487,-1.100613926,1.211351014,0.271635367,464,0.534988354
ENSG00000259142,-0.005009342,0.042082034,487,-0.119037536,0.014169935,0.905297136,464,0.959051971
ENSG00000177666,-0.074491324,0.043389107,487,-1.716820874,2.947473914,0.086679254,464,0.280212752
ENSG00000265688,0.078683544,0.042270694,487,1.861420675,3.464886929,0.063316918,464,0.234267916
ENSG00000005243,-0.111035418,0.047275172,487,-2.348704712,5.516413823,0.019257509,464,0.114868143
ENSG00000106089,-0.043002932,0.048361001,487,-0.889206832,0.79068879,0.374352691,464,0.632203618
ENSG00000261924,-0.030062955,0.04215281,487,-0.713189814,0.50863971,0.476086837,464,0.713186415
ENSG00000229214,0.059051633,0.042592517,487,1.386432112,1.922194,0.166280793,464,0.407490711
ENSG00000067829,-0.033513841,0.042004561,487,-0.797861943,0.63658368,0.425358741,464,0.67571989
ENSG00000167657,-0.014214684,0.045094698,487,-0.31521852,0.099362715,0.752737458,464,0.884814492
ENSG00000198026,0.11046453,0.044368587,487,2.48970134,6.198612762,0.013134156,464,0.090276564
ENSG00000095397,-0.054035313,0.04294144,487,-1.25834889,1.58344193,0.208898415,464,0.465034114
ENSG00000139132,-0.045143425,0.045973523,487,-0.981943996,0.964214011,0.326639157,464,0.588938025
ENSG00000174233,-0.120886408,0.049889426,487,-2.423086757,5.871349433,0.015770936,464,0.101249511
ENSG00000112667,0.092519762,0.045088877,487,2.051942056,4.210466203,0.040735923,464,0.178361247
ENSG00000174010,0.065423228,0.045301412,487,1.444176357,2.085645351,0.149364252,464,0.3826215
ENSG00000182551,0.032483292,0.043241993,487,0.751197833,0.564298184,0.452914418,464,0.696823535
ENSG00000204310,-0.041694102,0.047929521,487,-0.86990441,0.756733683,0.384802431,464,0.641797485
ENSG00000104808,-0.001615817,0.043781913,487,-0.03690605,0.001362057,0.970575788,464,0.9876917
ENSG00000186088,-0.058919034,0.044626922,487,-1.320257629,1.743080207,0.187399912,464,0.437382386
ENSG00000136155,-0.115150341,0.048709793,487,-2.364008005,5.588533849,0.018489454,464,0.111852818
ENSG00000163464,-0.050089973,0.041299823,487,-1.212837476,1.470974743,0.225809075,464,0.485619258
ENSG00000141510,0.06606246,0.042436261,487,1.556745532,2.423456651,0.120212692,464,0.338159143
ENSG00000215193,0.054843098,0.042247277,487,1.298145145,1.685180817,0.194882346,464,0.448130924
ENSG00000164287,-0.01900915,0.042978486,487,-0.442294549,0.195624468,0.658482162,464,0.831668293
ENSG00000279157,0.017976217,0.041414508,487,0.434056038,0.188404644,0.664449503,464,0.834041782
ENSG00000185847,-0.010312056,0.041848144,487,-0.24641608,0.060720885,0.805469134,464,0.910763676
ENSG00000072274,-0.036503041,0.042337616,487,-0.862189327,0.743370435,0.389028715,464,0.645475846
ENSG00000273802,-0.057127297,0.046060558,487,-1.240264991,1.538257247,0.215504202,464,0.472789623
ENSG00000160789,-0.222236203,0.060450247,487,-3.676348942,13.51554154,0.000264258,464,0.007495056
ENSG00000119703,-0.088428964,0.044537231,487,-1.985506562,3.942236306,0.047676335,464,0.197736314
ENSG00000160862,-0.045263492,0.047400619,487,-0.95491353,0.91185985,0.340118646,464,0.601424918
ENSG00000186300,0.042376338,0.043680924,487,0.970133733,0.94115946,0.33248526,464,0.594391856
ENSG00000224190,-0.050787095,0.041972545,487,-1.210007519,1.464118197,0.226892078,464,0.486974638
ENSG00000148200,-0.065169278,0.044193438,487,-1.474637001,2.174554285,0.140988323,464,0.370249204
ENSG00000143367,-0.209615072,0.057148256,487,-3.667917238,13.45361687,0.000272869,464,0.007706521
ENSG00000246982,0.004369807,0.044369403,487,0.098486942,0.009699678,0.921588171,464,0.966171808
ENSG00000123342,-0.122783261,0.043620935,487,-2.814778323,7.92297701,0.005088697,464,0.050899606
ENSG00000115866,0.200165961,0.044458278,487,4.502332733,20.27100004,8.51E-06,464,0.000748438
ENSG00000159455,0.019497778,0.042729334,487,0.456308962,0.208217869,0.648381328,464,0.826080325
ENSG00000154319,-0.042432134,0.046923471,487,-0.904283779,0.817729153,0.366314203,464,0.625806296
ENSG00000212901,-0.082106411,0.044373252,487,-1.850358195,3.423825448,0.064897418,464,0.237613073
ENSG00000136689,0.041098181,0.046588553,487,0.882151907,0.778191987,0.378151426,464,0.635137071
ENSG00000256546,0.074494258,0.045775815,487,1.62737152,2.648338064,0.104337046,464,0.31164156
ENSG00000247950,0.046863347,0.04413511,487,1.061815557,1.127452276,0.288871764,464,0.551732946
ENSG00000196922,-0.047594387,0.042234687,487,-1.126902804,1.269909929,0.260366017,464,0.524240234
ENSG00000162267,-0.056122021,0.042626683,487,-1.316593668,1.733418886,0.188624796,464,0.439249843
ENSG00000248529,-0.054290436,0.042935696,487,-1.264459198,1.598857064,0.206700021,464,0.462432221
ENSG00000131467,0.065830793,0.043318074,487,1.519707288,2.309510242,0.129265651,464,0.352261213
ENSG00000119414,0.08629614,0.044307762,487,1.94765287,3.793351703,0.05205925,464,0.208528592
ENSG00000171298,-0.031466242,0.042380003,487,-0.742478515,0.551274346,0.458173164,464,0.701411272
ENSG00000262877,-0.023132916,0.042253236,487,-0.547482695,0.299737301,0.584310395,464,0.787394713
ENSG00000149451,-0.076339062,0.042726259,487,-1.786701288,3.192301492,0.074638511,464,0.256841646
ENSG00000108639,-0.079855356,0.047426077,487,-1.683785814,2.835134668,0.092895636,464,0.29143953
ENSG00000163558,-0.010899622,0.046418756,487,-0.234810742,0.055136085,0.814459214,464,0.914833191
ENSG00000132323,0.108774946,0.042888238,487,2.536241923,6.432523091,0.011531782,464,0.083766533
ENSG00000178700,0.0242686,0.042426131,487,0.572020093,0.327206986,0.567585378,464,0.776760189
ENSG00000168675,0.000415499,0.053534254,487,0.007761365,6.02E-05,0.993810725,464,0.997332485
ENSG00000197768,-0.051596069,0.041731182,487,-1.236391249,1.52866332,0.216938646,464,0.474648105
ENSG00000156471,0.130071965,0.045755799,487,2.842742724,8.081186192,0.00466998,464,0.047905578
ENSG00000188313,-0.033240672,0.045888583,487,-0.724377836,0.524723249,0.469198888,464,0.709556569
ENSG00000124228,0.005853551,0.04252697,487,0.137643258,0.018945667,0.890582074,464,0.952872853
ENSG00000259347,-0.059144386,0.042929152,487,-1.377720814,1.898114642,0.168953608,464,0.411272434
ENSG00000087502,-0.032362325,0.042683265,487,-0.758197052,0.574862769,0.448717944,464,0.694100279
ENSG00000183935,-0.000139803,0.047453154,487,-0.002946131,8.68E-06,0.997650597,464,0.998897722
ENSG00000170619,0.057671756,0.041571093,487,1.38730429,1.924613193,0.166014956,464,0.407092395
ENSG00000233608,-0.028673819,0.046188986,487,-0.620793427,0.385384479,0.53504036,464,0.754163605
ENSG00000148634,-0.019844513,0.043228789,487,-0.459057814,0.210734077,0.64640762,464,0.825468306
ENSG00000154822,0.098291259,0.055528092,487,1.770117727,3.133316766,0.077364155,464,0.262521579
ENSG00000204839,-0.030240474,0.048186221,487,-0.627575129,0.393850542,0.53059102,464,0.751586369
ENSG00000149679,-0.089702625,0.043591158,487,-2.057816967,4.234610669,0.040165787,464,0.176920307
ENSG00000149735,-0.033649622,0.043317893,487,-0.776806521,0.60342837,0.43766875,464,0.685708769
ENSG00000167005,0.228805045,0.043031578,487,5.317142791,28.27200746,1.64E-07,464,5.87E-05
ENSG00000122859,-0.039495957,0.041331622,487,-0.955586919,0.91314636,0.339778557,464,0.60103585
ENSG00000171150,-0.031661111,0.047409823,487,-0.66781754,0.445980267,0.504582091,464,0.733165358
ENSG00000117318,0.078692008,0.049583551,487,1.587058747,2.518755468,0.113180531,464,0.32726743
ENSG00000174963,0.023162086,0.041221908,487,0.561887763,0.315717858,0.5744638,464,0.780792857
ENSG00000238184,-0.086657717,0.041625322,487,-2.081850983,4.334103514,0.03790357,464,0.171018722
ENSG00000167107,-0.129520439,0.043634238,487,-2.968321322,8.81093147,0.003149221,464,0.037094117
ENSG00000145685,-0.137584542,0.047673536,487,-2.885973084,8.328840644,0.004083978,464,0.044084951
ENSG00000229140,0.053465705,0.056961803,487,0.938623818,0.881014672,0.348412248,464,0.609044684
ENSG00000176125,-0.027708218,0.042821612,487,-0.647061536,0.418688632,0.517912088,464,0.742512469
ENSG00000131148,0.040150467,0.042594193,487,0.94262772,0.888547018,0.34636188,464,0.606837893
