"ensembl_gene_id","GeneName","logFC","logCPM","LR","PValue","FDR","Significance","Label"
"ENSG00000176293","ZNF135",1.03328550630335,2.74103954545143,54.0389608605159,0.000000000000196553297061615,0.000000000000792368464594717,"Significant","Up in WA (Down in Control)"
"ENSG00000176318","FOXN3P1",-4.08928242615183,-2.96506043652633,6.27067475072189,0.0122752388771153,0.0252005425544654,"Significant","Down in WA (Up in Control)"
"ENSG00000176358","TAC4",-2.13609537295939,-2.04720541165072,6.01095445530459,0.014217335268872,0.0287789730439235,"Significant","Down in WA (Up in Control)"
"ENSG00000176387","HSD11B2",-1.99957261652432,2.7231694002602,168.098221433844,0.0000000000000000000000000000000000000192551663439053,0.000000000000000000000000000000000000143667368546395,"Significant","Down in WA (Up in Control)"
"ENSG00000176395","CEACAM20",4.88419505755435,-2.61156742744579,9.66447055319931,0.00187865895213924,0.00437626983055784,"Significant","Up in WA (Down in Control)"
"ENSG00000176399","DMRTA1",1.10383623515418,2.47208182746148,47.9473342318671,0.0000000000043782297126929,0.0000000000168677118707599,"Significant","Up in WA (Down in Control)"
"ENSG00000176402","GJC3",2.06503967105111,-0.290426474393031,22.6243082561712,0.00000196976598132019,0.00000585612846658524,"Significant","Up in WA (Down in Control)"
"ENSG00000176422","SPRYD4",1.21755463371862,5.33875449942881,281.031085849319,0.0000000000000000000000000000000000000000000000000000000000000044761653168216,0.0000000000000000000000000000000000000000000000000000000000000508615745441007,"Significant","Up in WA (Down in Control)"
"ENSG00000176454","LPCAT4",-1.62650494498657,4.32255829406598,326.289447581015,0.00000000000000000000000000000000000000000000000000000000000000000000000061796558649128,0.00000000000000000000000000000000000000000000000000000000000000000000000814054925659001,"Significant","Down in WA (Up in Control)"
"ENSG00000176485","PLA2G16",-1.35865729416834,4.83357820042642,275.768505548911,0.0000000000000000000000000000000000000000000000000000000000000627677821835278,0.000000000000000000000000000000000000000000000000000000000000702487992163334,"Significant","Down in WA (Up in Control)"
"ENSG00000176490","DIRAS1",-1.85053218259478,5.26187669643212,513.205943173688,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127261625993027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000286752211774097,"Significant","Down in WA (Up in Control)"
"ENSG00000176542","KIAA2018",1.04711862689271,5.54314742442799,167.569277249905,0.0000000000000000000000000000000000000251236354756775,0.000000000000000000000000000000000000186768273569065,"Significant","Up in WA (Down in Control)"
"ENSG00000176595","KBTBD11",-1.20183676314051,3.77968894172631,118.039609546881,0.00000000000000000000000000169959821642019,0.0000000000000000000000000100881404639618,"Significant","Down in WA (Up in Control)"
"ENSG00000176597","B3GNT5",1.82448673565527,3.22467578649337,188.670400238738,0.000000000000000000000000000000000000000000620239154392304,0.00000000000000000000000000000000000000000504475509500261,"Significant","Up in WA (Down in Control)"
"ENSG00000176619","LMNB2",-2.41572221043064,8.49021173072081,1919.07534863905,0,0,"Significant","Down in WA (Up in Control)"
"ENSG00000176658","MYO1D",-1.35873395262354,5.16235509894931,308.765930817621,0.00000000000000000000000000000000000000000000000000000000000000000000405564617299614,0.0000000000000000000000000000000000000000000000000000000000000000000500540894384868,"Significant","Down in WA (Up in Control)"
"ENSG00000176678","FOXL1",3.80986923752225,-3.0475253930137,5.31190889698091,0.0211801371311751,0.0413188057890544,"Significant","Up in WA (Down in Control)"
"ENSG00000176697","BDNF",2.43050555783863,-1.58060843952638,10.9867149116386,0.000917673278960356,0.00221725620240766,"Significant","Up in WA (Down in Control)"
"ENSG00000176720","BOK",-1.63690181573732,4.37457516161371,268.063073148248,0.00000000000000000000000000000000000000000000000000000000000299957377785569,0.0000000000000000000000000000000000000000000000000000000000327420380638996,"Significant","Down in WA (Up in Control)"
"ENSG00000176723","ZNF843",1.32998860634174,1.27604327559114,29.1560077937786,0.0000000667783531024717,0.000000214773431878907,"Significant","Up in WA (Down in Control)"
"ENSG00000176749","CDK5R1",-1.50556183984709,3.34653724344235,156.742285001285,0.00000000000000000000000000000000000582725942554367,0.0000000000000000000000000000000000413450832125376,"Significant","Down in WA (Up in Control)"
"ENSG00000176769","TCERG1L",-1.24081955331095,1.21510253114779,28.1246776644511,0.000000113746199279115,0.000000362166853872522,"Significant","Down in WA (Up in Control)"
"ENSG00000176788","BASP1",1.16381566706739,6.56074590889452,365.233301741532,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000020420672651087,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000305249535478693,"Significant","Up in WA (Down in Control)"
"ENSG00000176834","VSIG10",-1.47137978269497,5.79109864060707,486.859788665401,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068721205974895,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143899469669737,"Significant","Down in WA (Up in Control)"
"ENSG00000176840","MIR7-3HG",5.97180650162136,0.263928638795618,122.149671381967,0.000000000000000000000000000214064349993492,0.00000000000000000000000000129787147336078,"Significant","Up in WA (Down in Control)"
"ENSG00000176884","GRIN1",-2.64151884490877,6.71552300344189,1810.05584991532,0,0,"Significant","Down in WA (Up in Control)"
"ENSG00000176890","TYMS",-3.05043266472503,6.62594085235502,2075.18642781884,0,0,"Significant","Down in WA (Up in Control)"
"ENSG00000176896","TCEANC",1.6546868046872,2.47930441284578,113.851932456219,0.0000000000000000000000000140411486206985,0.0000000000000000000000000817521761963529,"Significant","Up in WA (Down in Control)"
"ENSG00000176907","C8orf4",2.69176346070683,-0.743452802884599,24.4622338965573,0.000000757807829337105,0.00000230669051833241,"Significant","Up in WA (Down in Control)"
