"gene","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","Significance","Label","Source"
"MT-ND4L","MT-ND4L",2.25417302705666e-33,-0.325397794252426,0.119,0.19,4.10777950720536e-29,"Downregulated","ENSG00000212907",-1.00914169096001,8.63313590206174,214.259335110008,1.61675005464343e-48,1.44776716809851e-47,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MT1E","MT1E",9.00654811723729e-09,0.665219278825186,0.175,0.144,0.000164126326340415,"Upregulated","ENSG00000169715",-1.19685365445945,6.31844568477854,299.330933287909,4.60828155125969e-67,5.53737935594258e-66,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MT1G","MT1G",7.81565819903024e-23,2.16678481185147,0.077,0.038,1.42424739360928e-18,"Upregulated","ENSG00000125144",-1.51421236371929,3.00725261844389,103.894898890778,2.13338032274368e-24,1.17613480785304e-23,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MT1H","MT1H",3.76451672674699e-20,2.02029508946589,0.039,0.013,6.86007883115104e-16,"Upregulated","ENSG00000205358",-4.70822777448732,-2.74222735284426,8.52195069251151,0.00350888177444572,0.00787613846796383,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MT1M","MT1M",2.06452446909255e-14,2.54478400502185,0.027,0.009,3.76218294002736e-10,"Upregulated","ENSG00000205364",-4.63760600148634,-1.61129977208916,23.1883546626583,1.46884120633631e-06,4.40028157744195e-06,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MTCH2","MTCH2",1.69125074792082e-07,-0.329972918787804,0.053,0.074,0.00308196623793612,"Downregulated","ENSG00000109919",-1.01575566310559,6.91233220662305,312.541144527939,6.10464801682927e-70,7.6613207052836e-69,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MTFP1","MTFP1",1.20160260048577e-06,0.896599438728736,0.039,0.024,0.0218968041886521,"Upregulated","ENSG00000242114",-2.17398535801183,-0.179177553360474,20.8489616313069,4.96961601505622e-06,1.4394570872814e-05,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MTG1","MTG1",1.99369660732773e-07,-0.959320938884104,0.007,0.015,0.00363311332753333,"Downregulated","ENSG00000254536",-4.31516405437947,-2.88696589184206,7.11203606391786,0.0076568093965887,0.0162913451342858,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MTG1","MTG1",1.99369660732773e-07,-0.959320938884104,0.007,0.015,0.00363311332753333,"Downregulated","ENSG00000148824",-1.03361043121731,1.98454845165582,32.7057010414852,1.07222275216687e-08,3.57982533878957e-08,"Significant","Down in WA (Up in Control)","Common_DEGs"
"MTHFR","MTHFR",6.35423154361735e-07,-0.784400971348224,0.012,0.023,0.0115793161419339,"Downregulated","ENSG00000177000",2.43841124233448,5.31397744931715,997.961702675196,4.98102493520945e-219,2.87814563917245e-217,"Significant","Up in WA (Down in Control)","Common_DEGs"
"MYO15A","MYO15A",1.24451931617611e-11,-1.27877221542288,0.004,0.014,2.26788754986773e-07,"Downregulated","ENSG00000091536",1.33448987463353,1.9277363842934,52.6553851507628,3.97519430337091e-13,1.58742412305685e-12,"Significant","Up in WA (Down in Control)","Common_DEGs"
"MYO1G","MYO1G",5.32867967336967e-09,-0.373363391530042,0.116,0.147,9.71045296878155e-05,"Downregulated","ENSG00000136286",-4.53888043296795,-2.8126821976404,8.20172533243587,0.00418505736628628,0.00929068727264995,"Significant","Down in WA (Up in Control)","Common_DEGs"
