BioMarkers,Irinotecan.estimate,Irinotecan.se,Irinotecan.n,Irinotecan.tstat,Irinotecan.fstat,Irinotecan.pvalue,Irinotecan.df,Irinotecan.fdr
ENSG00000274290,-0.076554108,0.053766025,309,-1.423837955,2.027314522,0.15558345,286,0.430650382
ENSG00000198752,-0.144894024,0.081717382,309,-1.773111427,3.143924134,0.077274497,286,0.295994532
ENSG00000112761,-0.035934611,0.053162123,309,-0.675943869,0.456900114,0.499622492,286,0.759065648
ENSG00000119729,-0.12241689,0.060991195,309,-2.007123985,4.028546693,0.045677226,286,0.223262138
ENSG00000012779,-0.048830165,0.056404576,309,-0.865712819,0.749458685,0.387373286,286,0.677328211
ENSG00000106366,-0.023245914,0.068452483,309,-0.339591985,0.115322716,0.734413057,286,0.89375757
ENSG00000245573,-0.004529272,0.054904986,309,-0.082492911,0.00680508,0.934312459,286,0.975153662
ENSG00000163138,0.154599376,0.052185893,309,2.962474494,8.776255129,0.00330811,286,0.048922897
ENSG00000163359,-0.048886291,0.061428372,309,-0.795825934,0.633338917,0.426793243,286,0.707166562
ENSG00000189334,-0.050133191,0.064554722,309,-0.776599917,0.603107431,0.438036649,286,0.714734506
ENSG00000250486,-0.068885587,0.054735693,309,-1.258513114,1.583855258,0.209232618,286,0.502427136
ENSG00000225614,-0.072477942,0.053943754,309,-1.343583593,1.805216871,0.180148101,286,0.464749729
ENSG00000130772,0.049024297,0.055044888,309,0.890623966,0.793211049,0.373879533,286,0.664940383
ENSG00000106244,0.028356448,0.05228291,309,0.542365526,0.294160364,0.587989074,286,0.814114693
ENSG00000185219,0.207753051,0.05769961,309,3.600597135,12.96429973,0.000374164,286,0.013184086
ENSG00000268403,0.050841848,0.056519481,309,0.899545565,0.809182223,0.369118894,286,0.660169853
ENSG00000123349,0.040011097,0.052510328,309,0.761966231,0.580592537,0.446708055,286,0.720120416
ENSG00000110318,-0.156643793,0.058338143,309,-2.685100791,7.209766258,0.007674161,286,0.079868713
ENSG00000213719,-0.090678641,0.053010366,309,-1.710583198,2.926094878,0.088242469,286,0.317001649
ENSG00000231924,-0.0926708,0.055476859,309,-1.670440646,2.790371953,0.095926165,286,0.334174642
ENSG00000148735,-0.133580962,0.055418806,309,-2.410390471,5.809982224,0.016566507,286,0.128791971
ENSG00000203857,-0.094928302,0.053560708,309,-1.772349665,3.141223336,0.077401066,286,0.296090647
ENSG00000187908,0.057793636,0.052052218,309,1.110301115,1.232768566,0.267801911,286,0.56817816
ENSG00000125834,0.057560002,0.055614386,309,1.034984031,1.071191945,0.301550695,286,0.599548966
ENSG00000091317,-0.062173718,0.054796074,309,-1.134638197,1.287403838,0.257477006,286,0.557194787
ENSG00000218896,-0.077580439,0.052180923,309,-1.48675867,2.210451343,0.138180135,286,0.405879656
ENSG00000279422,0.023616436,0.052574346,309,0.449200761,0.201781324,0.653627042,286,0.851285813
ENSG00000167325,0.254599205,0.050998933,309,4.992245744,24.92251757,1.04E-06,286,0.00037945
ENSG00000087258,0.020559177,0.056434436,309,0.364301983,0.132715935,0.715901714,286,0.883744277
ENSG00000234572,-0.073173341,0.055888943,309,-1.309263271,1.714170313,0.191496067,286,0.480495505
ENSG00000157911,-0.093269892,0.058613821,309,-1.591261093,2.532111866,0.112655505,286,0.363078971
ENSG00000184351,-0.088396007,0.055534536,309,-1.591730357,2.533605529,0.11254995,286,0.36286053
ENSG00000112214,0.038838139,0.051412181,309,0.755426788,0.570669632,0.450614624,286,0.722079644
ENSG00000121270,-0.007975441,0.056421958,309,-0.141353499,0.019980812,0.887690201,286,0.956422307
ENSG00000116981,-0.040436147,0.0523021,309,-0.77312663,0.597724786,0.440085943,286,0.715921758
ENSG00000162739,0.050919756,0.06477981,309,0.786043618,0.61786457,0.432492692,286,0.711116995
ENSG00000173848,0.03605996,0.062953362,309,0.572804353,0.328104827,0.567227214,286,0.802469812
ENSG00000236519,0.018516894,0.054098138,309,0.342283391,0.11715792,0.732389033,286,0.892433396
