Row,Col,Treatment,Concentration_uM,Cell_Death,Well,incubation_time,drug,normalized_atp
F,5,Actinomycin D,"0,0003776",Apoptosis,F05,28h,apoptosis,1.030262463
F,6,Actinomycin D,"0,0001888",Apoptosis,F06,28h,apoptosis,0.885171228
F,7,Actinomycin D,"9,44e-05",Apoptosis,F07,28h,apoptosis,1.096021863
F,8,DMSO,0,Apoptosis,F08,28h,healthy,1.032301514
F,9,Untreated,0,Apoptosis,F09,28h,healthy,0.986550303
F,10,DMSO,0,Apoptosis,F10,28h,healthy,1.065053773
F,11,Untreated,0,Apoptosis,F11,28h,healthy,1.041732125
F,12,DMSO,0,Apoptosis,F12,28h,healthy,0.995439292
F,13,Actinomycin D,"0,0015104",Apoptosis,F13,28h,apoptosis,0.758431454
F,14,Actinomycin D,"0,0007552",Apoptosis,F14,28h,apoptosis,0.855063363
F,15,Actinomycin D,"0,0003776",Apoptosis,F15,28h,apoptosis,0.836775623
F,16,Actinomycin D,"0,0001888",Apoptosis,F16,28h,apoptosis,0.997446483
F,17,Actinomycin D,"9,44e-05",Apoptosis,F17,28h,apoptosis,1.009139167
F,18,Actinomycin D,"0,0015104",Apoptosis,F18,28h,apoptosis,0.762828158
F,19,Actinomycin D,"0,0007552",Apoptosis,F19,28h,apoptosis,0.776814775
F,20,Actinomycin D,"0,0003776",Apoptosis,F20,28h,apoptosis,1.008948006
F,21,Actinomycin D,"0,0001888",Apoptosis,F21,28h,apoptosis,1.083628255
F,22,Actinomycin D,"9,44e-05",Apoptosis,F22,28h,apoptosis,1.011210078
F,23,DMSO,0,Healthy,F23,28h,healthy,0.984511252
F,24,Untreated,0,Healthy,F24,28h,healthy,1.044631401
G,1,DMSO,0,Healthy,G01,28h,healthy,0.94025747
G,2,Untreated,0,Healthy,G02,28h,healthy,1.065754697
G,3,Doxorubicin,"0,2472",Apoptosis,G03,28h,apoptosis,0.657211679
G,4,Doxorubicin,"0,1236",Apoptosis,G04,28h,apoptosis,0.837317246
G,5,Doxorubicin,"0,0618",Apoptosis,G05,28h,apoptosis,0.872299717
G,6,Doxorubicin,"0,0309",Apoptosis,G06,28h,apoptosis,0.921937869
G,7,Doxorubicin,"0,01545",Apoptosis,G07,28h,apoptosis,0.949273899
G,8,DMSO,0,Apoptosis,G08,28h,healthy,0.951599692
G,9,Untreated,0,Apoptosis,G09,28h,healthy,1.013535871
G,10,DMSO,0,Apoptosis,G10,28h,healthy,1.081907805
G,11,Untreated,0,Apoptosis,G11,28h,healthy,1.049282987
G,12,DMSO,0,Apoptosis,G12,28h,healthy,0.99139305
G,13,Doxorubicin,"0,2472",Apoptosis,G13,28h,apoptosis,0.521391756
G,14,Doxorubicin,"0,1236",Apoptosis,G14,28h,apoptosis,0.814059318
G,15,Doxorubicin,"0,0618",Apoptosis,G15,28h,apoptosis,0.941595597
G,16,Doxorubicin,"0,0309",Apoptosis,G16,28h,apoptosis,0.924932726
G,17,Doxorubicin,"0,01545",Apoptosis,G17,28h,apoptosis,0.964471202
G,18,Doxorubicin,"0,2472",Apoptosis,G18,28h,apoptosis,0.594670157
G,19,Doxorubicin,"0,1236",Apoptosis,G19,28h,apoptosis,0.700891979
G,20,Doxorubicin,"0,0618",Apoptosis,G20,28h,apoptosis,0.856019168
G,21,Doxorubicin,"0,0309",Apoptosis,G21,28h,apoptosis,0.921459967
G,22,Doxorubicin,"0,01545",Apoptosis,G22,28h,apoptosis,1.010509154
G,23,DMSO,0,Healthy,G23,28h,healthy,0.955136171
G,24,Untreated,0,Healthy,G24,28h,healthy,0.993081639
H,1,DMSO,0,Healthy,H01,28h,healthy,0.756360542
H,2,Untreated,0,Healthy,H02,28h,healthy,0.794051129
H,3,Niclosamide,"6,78",Apoptosis,H03,28h,apoptosis,0.249050984
H,4,Niclosamide,"3,39",Apoptosis,H04,28h,apoptosis,0.460220221
H,5,Niclosamide,"1,695",Apoptosis,H05,28h,apoptosis,0.741545561
H,6,Niclosamide,"0,8475",Apoptosis,H06,28h,apoptosis,0.889440491
H,7,Niclosamide,"0,42375",Apoptosis,H07,28h,apoptosis,0.946024161
H,8,DMSO,0,Apoptosis,H08,28h,healthy,0.932101265
H,9,Untreated,0,Apoptosis,H09,28h,healthy,1.052405284
H,10,DMSO,0,Apoptosis,H10,28h,healthy,1.011911002
H,11,Untreated,0,Apoptosis,H11,28h,healthy,1.108160589
H,12,DMSO,0,Apoptosis,H12,28h,healthy,1.008119641
H,13,Niclosamide,"6,78",Apoptosis,H13,28h,apoptosis,0.360402294
H,14,Niclosamide,"3,39",Apoptosis,H14,28h,apoptosis,0.566856225
H,15,Niclosamide,"1,695",Apoptosis,H15,28h,apoptosis,0.802525935
H,16,Niclosamide,"0,8475",Apoptosis,H16,28h,apoptosis,0.900464112
H,17,Niclosamide,"0,42375",Apoptosis,H17,28h,apoptosis,0.977629454
H,18,Niclosamide,"6,78",Apoptosis,H18,28h,apoptosis,0.37066127
H,19,Niclosamide,"3,39",Apoptosis,H19,28h,apoptosis,0.633125388
H,20,Niclosamide,"1,695",Apoptosis,H20,28h,apoptosis,0.795835299
H,21,Niclosamide,"0,8475",Apoptosis,H21,28h,apoptosis,0.947266708
H,22,Niclosamide,"0,42375",Apoptosis,H22,28h,apoptosis,0.849583413
H,23,DMSO,0,Healthy,H23,28h,healthy,0.969345809
H,24,Untreated,0,Healthy,H24,28h,healthy,0.995248131
I,1,DMSO,0,Healthy,I01,28h,healthy,0.937007732
I,2,Untreated,0,Healthy,I02,28h,healthy,1.071075346
I,3,RLS3,"0,06028",Ferroptosis,I03,28h,ferroptosis,0.259979024
I,4,RLS3,"0,03014",Ferroptosis,I04,28h,ferroptosis,0.437440196
I,5,RLS3,"0,01507",Ferroptosis,I05,28h,ferroptosis,0.830180567
I,6,RLS3,"0,007535",Ferroptosis,I06,28h,ferroptosis,0.986677744
I,7,RLS3,"0,0037675",Ferroptosis,I07,28h,ferroptosis,0.967975821
I,8,DMSO,0,Ferroptosis,I08,28h,healthy,1.036315896
I,9,Untreated,0,Ferroptosis,I09,28h,healthy,1.017582113
I,10,DMSO,0,Ferroptosis,I10,28h,healthy,1.100800889
I,11,Untreated,0,Ferroptosis,I11,28h,healthy,1.005411526
I,12,DMSO,0,Ferroptosis,I12,28h,healthy,1.038705409
I,13,RLS3,"0,06028",Ferroptosis,I13,28h,ferroptosis,0.416922243
I,14,RLS3,"0,03014",Ferroptosis,I14,28h,ferroptosis,0.544585963
I,15,RLS3,"0,01507",Ferroptosis,I15,28h,ferroptosis,0.910627507
I,16,RLS3,"0,007535",Ferroptosis,I16,28h,ferroptosis,0.996203936
I,17,RLS3,"0,0037675",Ferroptosis,I17,28h,ferroptosis,0.941754898
I,18,RLS3,"0,06028",Ferroptosis,I18,28h,ferroptosis,0.390159697
I,19,RLS3,"0,03014",Ferroptosis,I19,28h,ferroptosis,0.633284688
I,20,RLS3,"0,01507",Ferroptosis,I20,28h,ferroptosis,0.872873201
I,21,RLS3,"0,007535",Ferroptosis,I21,28h,ferroptosis,0.969759991
I,22,RLS3,"0,0037675",Ferroptosis,I22,28h,ferroptosis,1.008119641
I,23,DMSO,0,Healthy,I23,28h,healthy,1.003022013
I,24,Untreated,0,Healthy,I24,28h,healthy,0.972595547
J,1,DMSO,0,Healthy,J01,28h,healthy,0.767575324
J,2,Untreated,0,Healthy,J02,28h,healthy,0.687733727
J,3,ML162,"0,09572",Ferroptosis,J03,28h,ferroptosis,0.105743919
J,4,ML162,"0,04786",Ferroptosis,J04,28h,ferroptosis,0.178831159
J,5,ML162,"0,02393",Ferroptosis,J05,28h,ferroptosis,0.46923665
J,6,ML162,"0,011965",Ferroptosis,J06,28h,ferroptosis,0.719179719
J,7,ML162,"0,0059825",Ferroptosis,J07,28h,ferroptosis,0.929138269
J,8,DMSO,0,Ferroptosis,J08,28h,healthy,0.866023263
J,9,Untreated,0,Ferroptosis,J09,28h,healthy,0.988430053
J,10,DMSO,0,Ferroptosis,J10,28h,healthy,0.951376671
J,11,Untreated,0,Ferroptosis,J11,28h,healthy,1.070470003
J,12,DMSO,0,Ferroptosis,J12,28h,healthy,0.970333474
J,13,ML162,"0,09572",Ferroptosis,J13,28h,ferroptosis,0.261380872
J,14,ML162,"0,04786",Ferroptosis,J14,28h,ferroptosis,0.361294379
J,15,ML162,"0,02393",Ferroptosis,J15,28h,ferroptosis,0.821323438
J,16,ML162,"0,011965",Ferroptosis,J16,28h,ferroptosis,0.928532925
J,17,ML162,"0,0059825",Ferroptosis,J17,28h,ferroptosis,0.915279093
J,18,ML162,"0,09572",Ferroptosis,J18,28h,ferroptosis,0.309712756
J,19,ML162,"0,04786",Ferroptosis,J19,28h,ferroptosis,0.53502791
J,20,ML162,"0,02393",Ferroptosis,J20,28h,ferroptosis,0.77235435
J,21,ML162,"0,011965",Ferroptosis,J21,28h,ferroptosis,1.000122738
J,22,ML162,"0,0059825",Ferroptosis,J22,28h,ferroptosis,0.952905959
J,23,DMSO,0,Healthy,J23,28h,healthy,1.042847232
J,24,Untreated,0,Healthy,J24,28h,healthy,0.937549355
K,1,DMSO,0,Healthy,K01,28h,healthy,1.003053874
K,2,Untreated,0,Healthy,K02,28h,healthy,1.03156873
K,3,ML210,"0,4704",Ferroptosis,K03,28h,ferroptosis,0.214673856
K,4,ML210,"0,2352",Ferroptosis,K04,28h,ferroptosis,0.297382869
K,5,ML210,"0,1176",Ferroptosis,K05,28h,ferroptosis,0.451840995
K,6,ML210,"0,0588",Ferroptosis,K06,28h,ferroptosis,0.840152801
K,7,ML210,"0,0294",Ferroptosis,K07,28h,ferroptosis,0.891893725
K,8,DMSO,0,Ferroptosis,K08,28h,healthy,1.064703311
K,9,Untreated,0,Ferroptosis,K09,28h,healthy,1.126798791
K,10,DMSO,0,Ferroptosis,K10,28h,healthy,1.11740004
K,11,Untreated,0,Ferroptosis,K11,28h,healthy,1.175162536
K,12,DMSO,0,Ferroptosis,K12,28h,healthy,1.128487381
K,13,ML210,"0,4704",Ferroptosis,K13,28h,ferroptosis,0.302480497
K,14,ML210,"0,2352",Ferroptosis,K14,28h,ferroptosis,0.342241994
K,15,ML210,"0,1176",Ferroptosis,K15,28h,ferroptosis,0.404464915
K,16,ML210,"0,0588",Ferroptosis,K16,28h,ferroptosis,0.901260616
K,17,ML210,"0,0294",Ferroptosis,K17,28h,ferroptosis,0.929807332
K,18,ML210,"0,4704",Ferroptosis,K18,28h,ferroptosis,0.296108462
K,19,ML210,"0,2352",Ferroptosis,K19,28h,ferroptosis,0.345555453
K,20,ML210,"0,1176",Ferroptosis,K20,28h,ferroptosis,0.55140404
K,21,ML210,"0,0588",Ferroptosis,K21,28h,ferroptosis,0.685981417
K,22,ML210,"0,0294",Ferroptosis,K22,28h,ferroptosis,0.960647981
K,23,DMSO,0,Healthy,K23,28h,healthy,1.006590353
K,24,Untreated,0,Healthy,K24,28h,healthy,1.032365234
L,1,DMSO,0,Healthy,L01,28h,healthy,0.809280292
L,2,Untreated,0,Healthy,L02,28h,healthy,0.938059118
L,3,Erastin,"5,132",Ferroptosis,L03,28h,ferroptosis,0.619744114
L,4,Erastin,"2,566",Ferroptosis,L04,28h,ferroptosis,0.746069706
L,5,Erastin,"1,283",Ferroptosis,L05,28h,ferroptosis,0.908110554
L,6,Erastin,"0,6415",Ferroptosis,L06,28h,ferroptosis,0.95484943
L,7,Erastin,"0,32075",Ferroptosis,L07,28h,ferroptosis,1.109753598
L,8,DMSO,0,Ferroptosis,L08,28h,healthy,1.028414572
L,9,Untreated,0,Ferroptosis,L09,28h,healthy,1.046096969
L,10,DMSO,0,Ferroptosis,L10,28h,healthy,0.992794897
L,11,Untreated,0,Ferroptosis,L11,28h,healthy,1.074102063
L,12,DMSO,0,Ferroptosis,L12,28h,healthy,0.999166932
L,13,Erastin,"5,132",Ferroptosis,L13,28h,ferroptosis,1.060657069
L,14,Erastin,"2,566",Ferroptosis,L14,28h,ferroptosis,1.032874997
L,15,Erastin,"1,283",Ferroptosis,L15,28h,ferroptosis,1.164298217
L,16,Erastin,"0,6415",Ferroptosis,L16,28h,ferroptosis,1.06269612
L,17,Erastin,"0,32075",Ferroptosis,L17,28h,ferroptosis,1.108861513
L,18,Erastin,"5,132",Ferroptosis,L18,28h,ferroptosis,1.030103162
L,19,Erastin,"2,566",Ferroptosis,L19,28h,ferroptosis,1.094843036
L,20,Erastin,"1,283",Ferroptosis,L20,28h,ferroptosis,1.068972575
L,21,Erastin,"0,6415",Ferroptosis,L21,28h,ferroptosis,1.063843087
L,22,Erastin,"0,32075",Ferroptosis,L22,28h,ferroptosis,0.944303712
L,23,DMSO,0,Healthy,L23,28h,healthy,1.067220265
L,24,Untreated,0,Healthy,L24,28h,healthy,1.076300415
M,1,DMSO,0,Healthy,M01,28h,healthy,0.826644087
M,2,Untreated,0,Healthy,M02,28h,healthy,0.935860766
M,3,IKE,"1,396",Ferroptosis,M03,28h,ferroptosis,0.042533333
M,4,IKE,"0,698",Ferroptosis,M04,28h,ferroptosis,0.212985266
M,5,IKE,"0,349",Ferroptosis,M05,28h,ferroptosis,0.797587608
M,6,IKE,"0,1745",Ferroptosis,M06,28h,ferroptosis,0.780988457
M,7,IKE,"0,08725",Ferroptosis,M07,28h,ferroptosis,0.944367432
M,8,DMSO,0,Ferroptosis,M08,28h,healthy,1.004328281
M,9,Untreated,0,Ferroptosis,M09,28h,healthy,0.979126883
M,10,DMSO,0,Ferroptosis,M10,28h,healthy,1.015606782
M,11,Untreated,0,Ferroptosis,M11,28h,healthy,1.004710603
M,12,DMSO,0,Ferroptosis,M12,28h,healthy,0.99512069
M,13,IKE,"1,396",Ferroptosis,M13,28h,ferroptosis,0.043520998
M,14,IKE,"0,698",Ferroptosis,M14,28h,ferroptosis,0.180105566
M,15,IKE,"0,349",Ferroptosis,M15,28h,ferroptosis,0.583104914
M,16,IKE,"0,1745",Ferroptosis,M16,28h,ferroptosis,0.912507258
M,17,IKE,"0,08725",Ferroptosis,M17,28h,ferroptosis,0.935478443
M,18,IKE,"1,396",Ferroptosis,M18,28h,ferroptosis,0.037945468
M,19,IKE,"0,698",Ferroptosis,M19,28h,ferroptosis,0.384584166
M,20,IKE,"0,349",Ferroptosis,M20,28h,ferroptosis,0.685694675
M,21,IKE,"0,1745",Ferroptosis,M21,28h,ferroptosis,0.849615273
M,22,IKE,"0,08725",Ferroptosis,M22,28h,ferroptosis,0.996681839
M,23,DMSO,0,Healthy,M23,28h,healthy,0.877811528
M,24,Untreated,0,Healthy,M24,28h,healthy,0.985594498
N,1,DMSO,0,Healthy,N01,28h,healthy,1.034021963
N,2,Untreated,0,Healthy,N02,28h,healthy,1.005634548
N,3,FINO2,"4,284",Ferroptosis,N03,28h,ferroptosis,0.080701822
N,4,FINO2,"2,142",Ferroptosis,N04,28h,ferroptosis,0.182845541
N,5,FINO2,"1,071",Ferroptosis,N05,28h,ferroptosis,0.383723942
N,6,FINO2,"0,5355",Ferroptosis,N06,28h,ferroptosis,0.663647435
N,7,FINO2,"0,26775",Ferroptosis,N07,28h,ferroptosis,0.884247283
N,8,DMSO,0,Ferroptosis,N08,28h,healthy,0.907728231
N,9,Leer,0,Ferroptosis,N09,28h,,1.023890428
N,10,DMSO,0,Ferroptosis,N10,28h,healthy,1.012643786
N,11,Leer,0,Ferroptosis,N11,28h,,0.972786708
N,12,DMSO,0,Ferroptosis,N12,28h,healthy,0.997988106
N,13,FINO2,"4,284",Ferroptosis,N13,28h,ferroptosis,0.068849837
N,14,FINO2,"2,142",Ferroptosis,N14,28h,ferroptosis,0.142128238
N,15,FINO2,"1,071",Ferroptosis,N15,28h,ferroptosis,0.450630308
N,16,FINO2,"0,5355",Ferroptosis,N16,28h,ferroptosis,0.686427459
N,17,FINO2,"0,26775",Ferroptosis,N17,28h,ferroptosis,0.816608132
N,18,FINO2,"4,284",Ferroptosis,N18,28h,ferroptosis,0.07493513
N,19,FINO2,"2,142",Ferroptosis,N19,28h,ferroptosis,0.218082894
N,20,FINO2,"1,071",Ferroptosis,N20,28h,ferroptosis,0.477392855
N,21,FINO2,"0,5355",Ferroptosis,N21,28h,ferroptosis,0.678653577
N,22,FINO2,"0,26775",Ferroptosis,N22,28h,ferroptosis,0.732720293
N,23,DMSO,0,Healthy,N23,28h,healthy,0.982440341
N,24,Untreated,0,Healthy,N24,28h,healthy,0.879022214
O,1,DMSO,0,Healthy,O01,28h,healthy,0.834959593
O,2,Untreated,0,Healthy,O02,28h,healthy,0.954275946
O,3,FIN56,"0,3106",Ferroptosis,O03,28h,ferroptosis,0.294133131
O,4,FIN56,"0,1553",Ferroptosis,O04,28h,ferroptosis,0.501765888
O,5,FIN56,"0,07765",Ferroptosis,O05,28h,ferroptosis,0.683719345
O,6,FIN56,"0,038825",Ferroptosis,O06,28h,ferroptosis,0.872044836
O,7,FIN56,"0,0194125",Ferroptosis,O07,28h,ferroptosis,0.868826958
O,8,DMSO,0,Ferroptosis,O08,28h,healthy,0.971607881
O,9,Leer,0,Ferroptosis,O09,28h,,0.937294473
O,10,DMSO,0,Ferroptosis,O10,28h,healthy,0.968485584
O,11,Leer,0,Ferroptosis,O11,28h,,0.848500167
O,12,DMSO,0,Ferroptosis,O12,28h,healthy,0.973583212
O,13,FIN56,"0,3106",Ferroptosis,O13,28h,ferroptosis,0.585940469
O,14,FIN56,"0,1553",Ferroptosis,O14,28h,ferroptosis,0.469109209
O,15,FIN56,"0,07765",Ferroptosis,O15,28h,ferroptosis,0.54222831
O,16,FIN56,"0,038825",Ferroptosis,O16,28h,ferroptosis,0.784078894
O,17,FIN56,"0,0194125",Ferroptosis,O17,28h,ferroptosis,0.815939069
O,18,FIN56,"0,3106",Ferroptosis,O18,28h,ferroptosis,0.40357283
O,19,FIN56,"0,1553",Ferroptosis,O19,28h,ferroptosis,0.704651479
O,20,FIN56,"0,07765",Ferroptosis,O20,28h,ferroptosis,0.6243957
O,21,FIN56,"0,038825",Ferroptosis,O21,28h,ferroptosis,0.67017877
O,22,FIN56,"0,0194125",Ferroptosis,O22,28h,ferroptosis,0.831136372
O,23,DMSO,0,Healthy,O23,28h,healthy,0.750976173
O,24,Untreated,0,Healthy,O24,28h,healthy,0.985530778
B,1,DMSO,0,Healthy,B01,28h,healthy,0.986964485
B,2,Untreated,0,Healthy,B02,28h,healthy,1.042719791
B,3,Stauro,"0,04748",Apoptosis,B03,28h,apoptosis,0.418801994
B,4,Stauro,"0,02374",Apoptosis,B04,28h,apoptosis,0.52403615
B,5,Stauro,"0,01187",Apoptosis,B05,28h,apoptosis,0.682444938
B,6,Stauro,"0,005935",Apoptosis,B06,28h,apoptosis,0.708156098
B,7,Stauro,"0,0029675",Apoptosis,B07,28h,apoptosis,0.790896972
B,8,DMSO,0,Apoptosis,B08,28h,healthy,0.995821614
B,9,Untreated,0,Apoptosis,B09,28h,healthy,1.078976669
B,10,DMSO,0,Apoptosis,B10,28h,healthy,1.069418617
B,11,Untreated,0,Apoptosis,B11,28h,healthy,1.082098967
B,12,DMSO,0,Apoptosis,B12,28h,healthy,1.080410377
B,13,Stauro,"0,04748",Apoptosis,B13,28h,apoptosis,0.449865664
B,14,Stauro,"0,02374",Apoptosis,B14,28h,apoptosis,0.57870821
B,15,Stauro,"0,01187",Apoptosis,B15,28h,apoptosis,0.658581667
B,16,Stauro,"0,005935",Apoptosis,B16,28h,apoptosis,0.682190056
B,17,Stauro,"0,0029675",Apoptosis,B17,28h,apoptosis,0.829384062
B,18,Stauro,"0,04748",Apoptosis,B18,28h,apoptosis,0.454071207
B,19,Stauro,"0,02374",Apoptosis,B19,28h,apoptosis,0.553379371
B,20,Stauro,"0,01187",Apoptosis,B20,28h,apoptosis,0.676837547
B,21,Stauro,"0,005935",Apoptosis,B21,28h,apoptosis,0.703440793
B,22,Stauro,"0,0029675",Apoptosis,B22,28h,apoptosis,0.766492078
B,23,DMSO,0,Healthy,B23,28h,healthy,1.056515246
B,24,Untreated,0,Healthy,B24,28h,healthy,0.997096021
C,1,DMSO,0,Healthy,C01,28h,healthy,0.887465161
C,2,Untreated,0,Healthy,C02,28h,healthy,1.027681788
C,3,Vinblastine,"0,00222",Apoptosis,C03,28h,apoptosis,0.427786563
C,4,Vinblastine,"0,00111",Apoptosis,C04,28h,apoptosis,0.738200243
C,5,Vinblastine,"0,000555",Apoptosis,C05,28h,apoptosis,0.878862913
C,6,Vinblastine,"0,0002775",Apoptosis,C06,28h,apoptosis,0.917732326
C,7,Vinblastine,"0,00013875",Apoptosis,C07,28h,apoptosis,1.034021963
C,8,DMSO,0,Apoptosis,C08,28h,healthy,1.017486533
C,9,Untreated,0,Apoptosis,C09,28h,healthy,1.029211077
C,10,DMSO,0,Apoptosis,C10,28h,healthy,1.026375521
C,11,Untreated,0,Apoptosis,C11,28h,healthy,1.005188505
C,12,DMSO,0,Apoptosis,C12,28h,healthy,1.056292225
C,13,Vinblastine,"0,00222",Apoptosis,C13,28h,apoptosis,0.541113204
C,14,Vinblastine,"0,00111",Apoptosis,C14,28h,apoptosis,0.701433602
C,15,Vinblastine,"0,000555",Apoptosis,C15,28h,apoptosis,0.905752901
C,16,Vinblastine,"0,0002775",Apoptosis,C16,28h,apoptosis,1.023635546
C,17,Vinblastine,"0,00013875",Apoptosis,C17,28h,apoptosis,1.016817469
C,18,Vinblastine,"0,00222",Apoptosis,C18,28h,apoptosis,0.43090886
C,19,Vinblastine,"0,00111",Apoptosis,C19,28h,apoptosis,0.585207685
C,20,Vinblastine,"0,000555",Apoptosis,C20,28h,apoptosis,0.927991302
C,21,Vinblastine,"0,0002775",Apoptosis,C21,28h,apoptosis,0.90192968
C,22,Vinblastine,"0,00013875",Apoptosis,C22,28h,apoptosis,0.984383811
C,23,DMSO,0,Healthy,C23,28h,healthy,0.867552551
C,24,Untreated,0,Healthy,C24,28h,healthy,1.016435147
D,1,DMSO,0,Healthy,D01,28h,healthy,0.975112501
D,2,Untreated,0,Healthy,D02,28h,healthy,1.076842038
D,3,Paclitaxel,"110,24",Apoptosis,D03,28h,apoptosis,0.459136975
D,4,Paclitaxel,"55,12",Apoptosis,D04,28h,apoptosis,0.102972084
D,5,Paclitaxel,"27,56",Apoptosis,D05,28h,apoptosis,0.125178626
D,6,Paclitaxel,"13,78",Apoptosis,D06,28h,apoptosis,0.313312956
D,7,Paclitaxel,"6,89",Apoptosis,D07,28h,apoptosis,0.340680846
D,8,DMSO,0,Apoptosis,D08,28h,healthy,0.98406521
D,9,Untreated,0,Apoptosis,D09,28h,healthy,1.091179116
D,10,DMSO,0,Apoptosis,D10,28h,healthy,1.006813374
D,11,Untreated,0,Apoptosis,D11,28h,healthy,1.179973423
D,12,DMSO,0,Apoptosis,D12,28h,healthy,1.002193649
D,13,Paclitaxel,"110,24",Apoptosis,D13,28h,apoptosis,0.25739835
D,14,Paclitaxel,"55,12",Apoptosis,D14,28h,apoptosis,0.125688388
D,15,Paclitaxel,"27,56",Apoptosis,D15,28h,apoptosis,0.170961696
D,16,Paclitaxel,"13,78",Apoptosis,D16,28h,apoptosis,0.33953388
D,17,Paclitaxel,"6,89",Apoptosis,D17,28h,apoptosis,0.444672455
D,18,Paclitaxel,"110,24",Apoptosis,D18,28h,apoptosis,0.333289285
D,19,Paclitaxel,"55,12",Apoptosis,D19,28h,apoptosis,0.115301971
D,20,Paclitaxel,"27,56",Apoptosis,D20,28h,apoptosis,0.1679987
D,21,Paclitaxel,"13,78",Apoptosis,D21,28h,apoptosis,0.33054931
D,22,Paclitaxel,"6,89",Apoptosis,D22,28h,apoptosis,0.41443715
D,23,DMSO,0,Healthy,D23,28h,healthy,0.999612975
D,24,Untreated,0,Healthy,D24,28h,healthy,0.953829904
E,1,DMSO,0,Healthy,E01,28h,healthy,0.918974873
E,2,Untreated,0,Healthy,E02,28h,healthy,1.013249129
E,3,Etoposide,"67,48",Apoptosis,E03,28h,apoptosis,0.393791757
E,4,Etoposide,"33,74",Apoptosis,E04,28h,apoptosis,0.524131731
E,5,Etoposide,"16,87",Apoptosis,E05,28h,apoptosis,0.5586363
E,6,Etoposide,"8,435",Apoptosis,E06,28h,apoptosis,0.718064613
E,7,Etoposide,"42,175",Apoptosis,E07,28h,apoptosis,0.688976273
E,8,DMSO,0,Apoptosis,E08,28h,healthy,1.030549204
E,9,Untreated,0,Apoptosis,E09,28h,healthy,1.038482388
E,10,DMSO,0,Apoptosis,E10,28h,healthy,1.071616969
E,11,Untreated,0,Apoptosis,E11,28h,healthy,1.106790602
E,12,DMSO,0,Apoptosis,E12,28h,healthy,1.06444843
E,13,Etoposide,"67,48",Apoptosis,E13,28h,apoptosis,0.429602593
E,14,Etoposide,"33,74",Apoptosis,E14,28h,apoptosis,0.567174826
E,15,Etoposide,"16,87",Apoptosis,E15,28h,apoptosis,0.537831606
E,16,Etoposide,"8,435",Apoptosis,E16,28h,apoptosis,0.735460268
E,17,Etoposide,"42,175",Apoptosis,E17,28h,apoptosis,0.676327784
E,18,Etoposide,"67,48",Apoptosis,E18,28h,apoptosis,0.424027062
E,19,Etoposide,"33,74",Apoptosis,E19,28h,apoptosis,0.499089633
E,20,Etoposide,"16,87",Apoptosis,E20,28h,apoptosis,0.628537522
E,21,Etoposide,"8,435",Apoptosis,E21,28h,apoptosis,0.654248683
E,22,Etoposide,"42,175",Apoptosis,E22,28h,apoptosis,0.736702815
E,23,DMSO,0,Healthy,E23,28h,healthy,1.00238481
E,24,Untreated,0,Healthy,E24,28h,healthy,1.022201838
F,1,DMSO,0,Healthy,F01,28h,healthy,0.967816521
F,2,Untreated,0,Healthy,F02,28h,healthy,1.068908854
F,3,Actinomycin D,"0,0015104",Apoptosis,F03,28h,apoptosis,0.780765436
F,4,Actinomycin D,"0,0007552",Apoptosis,F04,28h,apoptosis,0.913877245
F,5,Actinomycin D,"0,0003776",Apoptosis,F05,28h,apoptosis,0.959724036
F,6,Actinomycin D,"0,0001888",Apoptosis,F06,28h,apoptosis,1.098952999
F,7,Actinomycin D,"9,44e-05",Apoptosis,F07,28h,apoptosis,1.034340565
F,8,DMSO,0,Apoptosis,F08,28h,healthy,1.071903711
F,9,Untreated,0,Apoptosis,F09,28h,healthy,1.157989902
F,10,DMSO,0,Apoptosis,F10,28h,healthy,1.023253224
F,11,Untreated,0,Apoptosis,F11,28h,healthy,1.130558292
F,12,DMSO,0,Apoptosis,F12,28h,healthy,0.984543112
F,13,Actinomycin D,"0,0015104",Apoptosis,F13,28h,apoptosis,0.84713018
F,14,Actinomycin D,"0,0007552",Apoptosis,F14,28h,apoptosis,0.971002538
F,15,Actinomycin D,"0,0003776",Apoptosis,F15,28h,apoptosis,0.996713699
F,16,Actinomycin D,"0,0001888",Apoptosis,F16,28h,apoptosis,1.006526633
F,17,Actinomycin D,"9,44e-05",Apoptosis,F17,28h,apoptosis,1.031409429
F,18,Actinomycin D,"0,0015104",Apoptosis,F18,28h,apoptosis,0.792617421
F,19,Actinomycin D,"0,0007552",Apoptosis,F19,28h,apoptosis,0.911742613
F,20,Actinomycin D,"0,0003776",Apoptosis,F20,28h,apoptosis,0.839420017
F,21,Actinomycin D,"0,0001888",Apoptosis,F21,28h,apoptosis,0.990883287
F,22,Actinomycin D,"9,44e-05",Apoptosis,F22,28h,apoptosis,0.970492775
F,23,DMSO,0,Healthy,F23,28h,healthy,1.045396045
F,24,Untreated,0,Healthy,F24,28h,healthy,0.988939816
G,1,DMSO,0,Healthy,G01,28h,healthy,0.870802289
G,2,Untreated,0,Healthy,G02,28h,healthy,1.030612925
G,3,Doxorubicin,"0,2472",Apoptosis,G03,28h,apoptosis,0.531555151
G,4,Doxorubicin,"0,1236",Apoptosis,G04,28h,apoptosis,0.82161018
G,5,Doxorubicin,"0,0618",Apoptosis,G05,28h,apoptosis,0.831773576
