"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"CD83",5.61207737709253e-11,0.61690682399325,0.247,0.207,1.02268886042757e-06,"CD83","Upregulated"
"AC004951.1",5.62757949870028e-11,-0.156898171862613,0.024,0.043,1.02551381204815e-06,"AC004951.1","Not Significant"
"GNPTG",5.66850972758155e-11,-0.72585819392335,0.024,0.042,1.03297252765719e-06,"GNPTG","Downregulated"
"RBP7",5.70796064819833e-11,-1.07447915851307,0.006,0.016,1.04016166892118e-06,"RBP7","Downregulated"
"CAPN2",5.73394670501101e-11,-0.472794177155985,0.069,0.099,1.04489710805416e-06,"CAPN2","Downregulated"
"ESD",5.78842695549702e-11,-0.255547635815372,0.121,0.157,1.05482504410022e-06,"ESD","Downregulated"
"FEM1A",5.83911031067017e-11,-0.581368269297728,0.024,0.043,1.06406107191342e-06,"FEM1A","Downregulated"
"VRK3",5.96773895358073e-11,-0.340439746873742,0.045,0.069,1.08750106951102e-06,"VRK3","Downregulated"
"AC006480.2",6.10230511510691e-11,-1.14777579879274,0.003,0.011,1.11202306112593e-06,"AC006480.2","Downregulated"
"HPS4",6.30915590437987e-11,-0.750869108158771,0.031,0.051,1.14971748045514e-06,"HPS4","Downregulated"
"TMPO",6.51337914965893e-11,-0.231363965523875,0.05,0.075,1.18693308244235e-06,"TMPO","Not Significant"
"SLC7A7",6.59601959628358e-11,-0.59469181710181,0.02,0.038,1.20199265103076e-06,"SLC7A7","Downregulated"
"ARL2",6.65115946926291e-11,-0.397378810393525,0.06,0.088,1.21204079008378e-06,"ARL2","Downregulated"
"SACM1L",6.67406320444386e-11,-0.375728153403563,0.045,0.069,1.21621453774581e-06,"SACM1L","Downregulated"
"BIK",6.7624580437238e-11,1.32732148959165,0.041,0.022,1.23232272930779e-06,"BIK","Upregulated"
"FIP1L1",7.00000719323971e-11,-0.319223023553608,0.07,0.1,1.27561131082407e-06,"FIP1L1","Downregulated"
"ARHGEF12",7.11752892093547e-11,-0.929057406392162,0.013,0.028,1.29702729526207e-06,"ARHGEF12","Downregulated"
"MEAF6",7.46406983586467e-11,-0.111398376109335,0.199,0.242,1.36017744618962e-06,"MEAF6","Not Significant"
"HELZ",7.61468156586936e-11,-0.347558100934796,0.055,0.082,1.38762342174837e-06,"HELZ","Downregulated"
"CBWD1",7.71989817201599e-11,-0.361663705918676,0.033,0.055,1.40679704388647e-06,"CBWD1","Downregulated"
"C1orf131",7.88202988632095e-11,-0.531712398630698,0.039,0.062,1.43634230618427e-06,"C1orf131","Downregulated"
"TMEM132B",7.969047980698e-11,-2.20166987363698,0.002,0.011,1.4521996135226e-06,"TMEM132B","Downregulated"
"XRCC1",8.02836703463123e-11,-0.682069858163221,0.014,0.029,1.46300932472085e-06,"XRCC1","Downregulated"
"ZBTB8OS",8.12798009931878e-11,-0.154032030071455,0.086,0.119,1.48116181349886e-06,"ZBTB8OS","Not Significant"
"LRRK2",8.60438022441506e-11,-1.1914518001786,0.007,0.018,1.56797620829516e-06,"LRRK2","Downregulated"
"IER5",8.74830913895681e-11,-0.491101548489009,0.05,0.075,1.5942043743921e-06,"IER5","Downregulated"
"HVCN1",8.79608503033689e-11,-0.584923107036198,0.024,0.043,1.60291057507829e-06,"HVCN1","Downregulated"
"TMEM160",9.00507101956728e-11,-1.47884279696975,0.01,0.023,1.64099409189575e-06,"TMEM160","Downregulated"
"IRF2BP2",9.02212872387878e-11,0.748800745812923,0.155,0.119,1.64410251735243e-06,"IRF2BP2","Upregulated"
"BPTF",9.11724006916308e-11,-0.302835309206523,0.079,0.11,1.66143465780359e-06,"BPTF","Downregulated"
"KREMEN1",9.19180847648159e-11,-1.31114731394074,0.01,0.024,1.67502325866924e-06,"KREMEN1","Downregulated"
"SPRY2",9.29705533531201e-11,-1.50817268738999,0.006,0.016,1.69420239375391e-06,"SPRY2","Downregulated"
"GOLGA4",9.33806972266036e-11,-0.235951967829895,0.089,0.121,1.7016764455604e-06,"GOLGA4","Not Significant"
"AL157938.2",9.42591751438305e-11,-1.086652142818,0.006,0.018,1.71768494864602e-06,"AL157938.2","Downregulated"
"POP4",9.85749235926754e-11,-0.356493671452515,0.042,0.066,1.79633083262932e-06,"POP4","Downregulated"
"ZMPSTE24",9.99186433031684e-11,-0.46603806801152,0.033,0.054,1.82081743691364e-06,"ZMPSTE24","Downregulated"
"RIOK3",1.00855011562088e-10,-0.28286327984278,0.052,0.077,1.83788087569593e-06,"RIOK3","Downregulated"
"ALG13",1.01757259014581e-10,0.675816275261741,0.188,0.15,1.85432253102271e-06,"ALG13","Upregulated"
"TRIM27",1.034502765286e-10,-0.662892201700731,0.031,0.051,1.88517438918067e-06,"TRIM27","Downregulated"
"ZNF24",1.04125514116765e-10,-0.269759085297992,0.059,0.086,1.8974792437498e-06,"ZNF24","Downregulated"
