"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"PQLC3",4.97719658863618e-15,-0.433893371767025,0.073,0.109,9.0699453434717e-11,"PQLC3","Downregulated"
"EPHA1-AS1",5.13123899491331e-15,-0.962842111234322,0.025,0.049,9.35065682043053e-11,"EPHA1-AS1","Downregulated"
"HIST1H3A",5.13126515822123e-15,-2.66757189506993,0.002,0.012,9.35070449782654e-11,"HIST1H3A","Downregulated"
"WDR1",5.34066814414812e-15,-0.344869247873689,0.151,0.197,9.73229955908112e-11,"WDR1","Downregulated"
"TNFAIP8L2",5.99143022182198e-15,-1.35900512651413,0.008,0.024,1.09181832932262e-10,"TNFAIP8L2","Downregulated"
"LARS",6.10856890528656e-15,-0.383896213861967,0.052,0.083,1.11316451161037e-10,"LARS","Downregulated"
"GFM2",6.43086936431823e-15,-1.09278703521586,0.009,0.024,1.17189732425971e-10,"GFM2","Downregulated"
"GZMK",6.73500441801645e-15,0.57462450944888,0.158,0.113,1.22731985509514e-10,"GZMK","Upregulated"
"ADORA3",6.91412289151805e-15,-1.00838683034019,0.009,0.024,1.25996061452133e-10,"ADORA3","Downregulated"
"PLD4",6.95666322472333e-15,-0.783468519041957,0.027,0.051,1.26771273944133e-10,"PLD4","Downregulated"
"GLB1L2",7.24406506597045e-15,-1.55914764002524,0.012,0.029,1.3200859769718e-10,"GLB1L2","Downregulated"
"ASB8",7.63580653535094e-15,-0.736740574244053,0.034,0.061,1.391473024937e-10,"ASB8","Downregulated"
"HAMP",7.88344151070902e-15,-0.501157550933833,0.011,0.028,1.4365995464965e-10,"HAMP","Downregulated"
"HIST1H4B",8.36394425667989e-15,-2.98068366797374,0.001,0.01,1.52416156189478e-10,"HIST1H4B","Downregulated"
"PMS1",8.7169334713951e-15,-1.16994140004127,0.014,0.032,1.58848678649233e-10,"PMS1","Downregulated"
"MAPKAPK5",9.11311974669721e-15,-1.29647098926135,0.009,0.025,1.66068381144063e-10,"MAPKAPK5","Downregulated"
"MRM2",1.00515869183865e-14,-0.733537063707152,0.015,0.034,1.83170068413756e-10,"MRM2","Downregulated"
"FLI1",1.02874010685455e-14,-0.572796925647658,0.058,0.091,1.87467309672105e-10,"FLI1","Downregulated"
"AGTRAP",1.06403229922464e-14,-0.617453452925004,0.061,0.094,1.93898605887706e-10,"AGTRAP","Downregulated"
"NIFK-AS1",1.09195694595753e-14,-0.737641117010824,0.017,0.036,1.9898731426184e-10,"NIFK-AS1","Downregulated"
"ANKS3",1.12265992199459e-14,-1.10574023318919,0.013,0.031,2.04582317585074e-10,"ANKS3","Downregulated"
"SPOP",1.15809011501936e-14,-0.334933408973302,0.065,0.1,2.11038761659978e-10,"SPOP","Downregulated"
"DBNL",1.33876221239176e-14,-0.290208842998303,0.13,0.174,2.4396263796415e-10,"DBNL","Downregulated"
"TMUB2",1.35413504363976e-14,-0.403641786643968,0.058,0.091,2.46764029002473e-10,"TMUB2","Downregulated"
"COPZ1",1.39412983331805e-14,-0.377537505052819,0.099,0.139,2.54052279525548e-10,"COPZ1","Downregulated"
"RASSF3",1.39873576984631e-14,2.20712895886362,0.052,0.027,2.54891619339092e-10,"RASSF3","Upregulated"
"MRPS18B",1.43512998618236e-14,-0.441913348361454,0.057,0.089,2.61523737382011e-10,"MRPS18B","Downregulated"
"DDX19A",1.4505279935432e-14,-0.863591877804502,0.026,0.049,2.64329716263378e-10,"DDX19A","Downregulated"
"RPAP2",1.47608031694731e-14,-0.561102734725446,0.045,0.074,2.68986116157308e-10,"RPAP2","Downregulated"
"MLKL",1.48340224764892e-14,-0.522692736568303,0.03,0.055,2.70320391589062e-10,"MLKL","Downregulated"
"LIPA",1.49653597495378e-14,-0.472945231465092,0.082,0.119,2.72713750715828e-10,"LIPA","Downregulated"
"ANXA11",1.50229417992073e-14,-0.349229511077207,0.164,0.211,2.73763068406955e-10,"ANXA11","Downregulated"
"ZBED5",1.51188657996171e-14,-0.891594138374511,0.025,0.048,2.75511091466422e-10,"ZBED5","Downregulated"
"SLC39A10",1.53010225926027e-14,-0.8361510822089,0.016,0.035,2.78830534704999e-10,"SLC39A10","Downregulated"
"LINC02446",1.57221802626069e-14,-0.713151576790641,0.032,0.057,2.86505290925486e-10,"LINC02446","Downregulated"
"NUMB",1.58917267509092e-14,-0.61494019339719,0.041,0.069,2.89594936581819e-10,"NUMB","Downregulated"
"NINJ1",1.60300769646242e-14,0.899907932570191,0.18,0.136,2.92116092526346e-10,"NINJ1","Upregulated"
"SULT1C2",1.63012044041235e-14,-1.73719090229064,0.007,0.021,2.97056847856343e-10,"SULT1C2","Downregulated"
"DLST",1.6399099044e-14,-0.566638548085498,0.035,0.062,2.98840781878812e-10,"DLST","Downregulated"
"ZNF148",1.80239520985056e-14,-0.520311294688942,0.062,0.096,3.28450479091067e-10,"ZNF148","Downregulated"
"MRPL4",1.817258162338e-14,-0.422425443219726,0.051,0.082,3.31158954922854e-10,"MRPL4","Downregulated"
"PRKCH",1.83927176187894e-14,-0.296538369266694,0.167,0.215,3.351704931672e-10,"PRKCH","Downregulated"
"KCNMB1",1.84874301078516e-14,-0.463753561575107,0.018,0.038,3.3689643885538e-10,"KCNMB1","Downregulated"
"NFX1",1.8836463954634e-14,-0.969871023496948,0.018,0.038,3.43256882645296e-10,"NFX1","Downregulated"
"ZNF268",1.91451014083201e-14,-1.40955716419536,0.013,0.03,3.48881182963817e-10,"ZNF268","Downregulated"
"EIF2AK1",1.96022317543852e-14,-0.974392978898713,0.031,0.055,3.57211469260161e-10,"EIF2AK1","Downregulated"
"MT1M",2.06452446909255e-14,2.54478400502185,0.027,0.009,3.76218294002736e-10,"MT1M","Upregulated"
"DZIP3",2.12207477308792e-14,-0.823514291597542,0.036,0.062,3.86705685899812e-10,"DZIP3","Downregulated"
"FAHD1",2.17865563103759e-14,-0.683012290351867,0.018,0.039,3.97016415643979e-10,"FAHD1","Downregulated"
"ECI2",2.32889368611357e-14,-0.546311078241514,0.051,0.082,4.24394296420476e-10,"ECI2","Downregulated"
"P2RX7",2.35641611759793e-14,-0.695037365175888,0.013,0.031,4.29409709109872e-10,"P2RX7","Downregulated"
"TSC2",2.40555939731514e-14,-0.856790143248876,0.035,0.061,4.38365088972739e-10,"TSC2","Downregulated"
"PTAFR",2.50509489428132e-14,-0.45162137263513,0.017,0.037,4.56503442584884e-10,"PTAFR","Downregulated"
"C15orf40",2.51759858677969e-14,-0.535539014467234,0.043,0.071,4.58781990468863e-10,"C15orf40","Downregulated"
"MOB3A",2.6127568390763e-14,-0.353780611298532,0.044,0.072,4.76122678784875e-10,"MOB3A","Downregulated"
"GPAA1",2.63403004967965e-14,-0.544619982445261,0.068,0.102,4.79999295953122e-10,"GPAA1","Downregulated"
"GPBP1L1",2.64784435575527e-14,-0.408362974068196,0.06,0.092,4.82516676949284e-10,"GPBP1L1","Downregulated"
"SCIMP",2.67545772119494e-14,-0.736251035848595,0.016,0.035,4.87548660533354e-10,"SCIMP","Downregulated"
"ATG3",2.67897906431148e-14,-0.316748932464883,0.092,0.131,4.88190354889481e-10,"ATG3","Downregulated"
"ST3GAL1",2.97568588786634e-14,-0.451390646766503,0.08,0.117,5.42259239345884e-10,"ST3GAL1","Downregulated"
